,Westbrook(Maine),Lebanon(New Hampshire),Montpelier(Vermont),Quincy(Massachusetts),Concord(New Hampshire),Warwick(Rhode Island),Biddeford(Maine),Pittsfield(Massachusetts),New Bedford(Massachusetts),Rutland(Vermont),Laconia(New Hampshire),Keene(New Hampshire),Stamford(Connecticut),Lewiston(Maine),Nashua(New Hampshire),Chelsea(Massachusetts),Worcester(Massachusetts),Buffalo(New York),Winooski(Vermont),Springfield(Massachusetts),Bridgeport(Connecticut),Portland(Maine),Burlington(Vermont),Brockton(Massachusetts),Manchester(New Hampshire),Fall River(Massachusetts),Sanford(Maine),Boston(Massachusetts),Portsmouth(New Hampshire),Newport(Rhode Island),Cambridge(Massachusetts),Augusta(Maine),New York City(New York),Hartford(Connecticut),Providence(Rhode Island),Rochester(New Hampshire),Bangor(Maine),Auburn(Maine),Albany(New York),New Haven(Connecticut)
Westbrook(Maine),0.0,228.0,324.0,204.7,140.0,290.3,36.2,404.4,281.2,309.0,138.0,227.0,483.4,55.0,198.2,181.2,256.4,937.4,388.0,328.7,450.4,12.1,393.0,226.10000000000002,167.5,271.4,55.0,189.4,95.2,306.1,189.7,98.0,740.4,361.4,272.7,130.3,214.0,54.0,469.4,424.4
Lebanon(New Hampshire),228.0,0.0,96.0,241.4,97.0,311.6,203.2,224.0,312.0,81.0,90.0,99.0,396.7,274.0,146.0,219.0,229.0,757.0,160.0,228.0,363.7,229.0,165.0,263.0,115.0,305.8,173.0,223.8,172.0,340.5,213.0,316.0,560.0,274.7,294.0,149.0,436.0,277.5,289.0,337.7
Montpelier(Vermont),324.0,96.0,0.0,337.4,193.0,407.6,299.2,252.0,408.0,109.0,186.0,195.0,492.7,370.0,242.0,315.0,325.0,785.0,64.0,324.0,459.7,325.0,69.0,359.0,211.0,401.8,269.0,319.8,268.0,436.5,309.0,412.0,588.0,370.7,390.0,245.0,532.0,373.5,317.0,433.7
Quincy(Massachusetts),204.7,241.4,337.4,0.0,154.4,85.6,168.5,235.0,80.0,322.4,196.4,177.4,310.0,250.5,95.4,23.5,88.0,768.0,401.4,158.0,277.0,206.6,406.4,25.6,128.2,70.0,157.3,21.0,109.5,104.7,28.4,295.6,571.0,188.0,68.0,144.6,408.5,248.5,300.0,245.6
Concord(New Hampshire),140.0,97.0,193.0,154.4,0.0,224.6,115.2,302.0,225.0,178.0,43.7,87.0,369.0,186.0,59.0,132.0,142.0,835.0,257.0,216.0,336.0,141.0,262.0,176.0,27.5,218.8,85.0,136.8,75.0,253.5,126.0,228.0,638.0,247.0,207.0,57.0,348.0,189.5,367.0,310.0
Warwick(Rhode Island),290.3,311.6,407.6,85.6,224.6,0.0,254.1,242.6,72.80000000000001,381.6,266.6,247.6,229.0,336.1,165.6,109.1,82.6,775.6,471.6,165.6,195.2,292.20000000000005,476.6,86.6,198.4,47.400000000000006,242.9,106.6,195.1,50.0,114.0,381.20000000000005,578.6,137.6,17.6,230.2,494.1,334.1,307.6,160.0
Biddeford(Maine),36.2,203.2,299.2,168.5,115.2,254.1,0.0,368.2,245.0,284.2,113.2,202.2,447.2,82.0,162.0,145.0,220.2,901.2,363.2,292.5,414.2,38.1,368.2,189.9,133.0,235.2,30.2,153.2,59.0,269.9,153.5,127.1,704.2,325.2,236.5,94.1,240.0,80.0,433.2,388.2
Pittsfield(Massachusetts),404.4,224.0,252.0,235.0,302.0,242.6,368.2,0.0,261.0,143.0,314.0,221.0,260.7,450.2,243.0,223.2,160.0,533.0,256.0,92.0,227.7,406.29999999999995,256.0,242.0,275.8,240.0,357.0,215.0,309.2,274.7,216.0,495.29999999999995,336.0,138.7,225.0,341.0,608.2,448.2,65.0,201.7
New Bedford(Massachusetts),281.2,312.0,408.0,80.0,225.0,72.80000000000001,245.0,261.0,0.0,393.0,267.0,248.0,290.1,327.0,166.0,100.0,114.0,794.0,472.0,182.0,256.3,283.1,477.0,60.0,198.8,25.4,233.8,93.0,186.0,60.1,99.0,372.1,597.0,175.2,55.2,221.1,485.0,325.0,326.0,221.1
Rutland(Vermont),309.0,81.0,109.0,322.4,178.0,381.6,284.2,143.0,393.0,0.0,171.0,180.0,384.7,355.0,227.0,300.0,299.0,676.0,113.0,216.0,351.7,310.0,113.0,344.0,196.0,376.0,254.0,304.8,253.0,410.7,294.0,397.0,479.0,262.7,364.0,230.0,517.0,358.5,208.0,325.7
Laconia(New Hampshire),138.0,90.0,186.0,196.4,43.7,266.6,113.2,314.0,267.0,171.0,0.0,129.0,411.0,184.0,101.0,174.0,184.0,847.0,250.0,258.0,378.0,139.0,255.0,218.0,71.0,260.8,83.0,178.8,92.0,295.5,168.0,226.0,650.0,289.0,249.0,59.0,346.0,187.5,379.0,352.0
