,Auburn(Maine),Warwick(Rhode Island),Utica(New York),Troy(New York),Baltimore(Maryland),Cumberland(Maryland),Paterson(New Jersey),Biddeford(Maine),Cambridge(Massachusetts),Washington(DC),York(Pennsylvania),Pittsburgh(Pennsylvania),Quincy(Massachusetts),Middletown(New Jersey),Hagerstown(Maryland),New Haven(Connecticut),Johnstown(Pennsylvania),New Rochelle(New York),Rockville(Maryland),Fall River(Massachusetts),New Bedford(Massachusetts),Reading(Pennsylvania),Annapolis(Maryland),Stamford(Connecticut),Virginia Beach(Virginia),Westbrook(Maine),Worcester(Massachusetts),Laconia(New Hampshire),Syracuse(New York),Silver Spring(Maryland),Burlington(Vermont),Buffalo(New York),Gaithersburg(Maryland),Lebanon(New Hampshire),Bangor(Maine),Portland(Maine),Boston(Massachusetts),Salisbury(Maryland),Winooski(Vermont),Hartford(Connecticut),Allentown(Pennsylvania),Brockton(Massachusetts),Montpelier(Vermont),Concord(New Hampshire),New York City(New York),Pittsfield(Massachusetts),Wilmington-D(Delaware),Portsmouth(New Hampshire),Chelsea(Massachusetts),Binghamton(New York),Yonkers(New York),Scranton(Pennsylvania),Woodbridge(New Jersey),Providence(Rhode Island),Augusta(Maine),Dover(Delaware),Manchester(New Hampshire),Rochester(New Hampshire),Columbia(Maryland),Keene(New Hampshire),Atlantic City(New Jersey),Seaford(Delaware),Rutland(Vermont),Lewiston(Maine),Newark(New Jersey),Philadelphia(Pennsylvania),Mount Vernon(New York),Harrisburg(Pennsylvania),Nashua(New Hampshire),Tonawanda(New York),Newport(Rhode Island),Jersey City(New Jersey),Springfield(Massachusetts),Erie(Pennsylvania),Bridgeport(Connecticut),Sanford(Maine),Trenton(New Jersey),Lancaster(Pennsylvania),Albany(New York),Hamilton(New Jersey)
Auburn(Maine),0.0,334.1,654.5,493.5,928.3,1122.0,614.0,80.0,233.5,993.6999999999999,903.0,1213.0,248.5,678.5,1013.0,468.2,1105.0,561.9,991.3,315.2,325.0,814.0,980.3,527.2,1000000000.0,54.0,300.2,187.5,735.5,981.3,442.5,969.5,999.3,277.5,170.5,54.0,233.2,986.8,437.5,405.2,758.0,269.9,373.5,189.5,597.0,448.2,809.3,139.0,225.0,725.5,574.6,791.0,643.3,316.5,57.5,891.3,213.0,174.1,962.1999999999999,276.5,806.5,950.3,358.5,3.5,626.0,758.3,567.0,891.0,242.0,965.5,349.9,609.5,372.5,1121.5,494.2,104.5,703.3,866.0,508.3,699.5
Warwick(Rhode Island),334.1,0.0,462.6,322.40000000000003,630.1,823.8,315.79999999999995,254.1,114.0,695.5,604.8,914.8,85.6,380.3,714.8,160.0,806.8,263.7,693.1,47.400000000000006,72.80000000000001,515.8,682.1,229.0,1000000000.0,290.3,82.6,266.6,543.6,683.1,476.6,775.6,701.1,311.6,494.1,292.20000000000005,106.6,688.6,471.6,137.6,459.8,86.6,407.6,224.6,298.8,242.6,511.1,195.1,109.1,533.6,276.4,492.79999999999995,345.1,17.6,381.20000000000005,593.1,198.39999999999998,230.2,664.0,247.6,508.3,652.1,381.6,336.1,327.8,460.1,268.8,592.8,165.6,773.6,50.0,311.3,165.6,927.6,195.2,242.9,405.1,567.8,307.6,401.3
Utica(New York),654.5,462.6,0.0,161.0,576.2,682.0,391.4,580.2,436.0,641.6,491.2,681.0,455.0,467.7,573.0,421.7,630.0,364.7,639.2,460.0,481.0,414.0,628.2,399.4,1000000000.0,605.0,380.0,467.0,89.0,629.2,409.0,323.0,647.2,377.0,813.0,606.0,435.0,683.5,409.0,358.7,377.0,462.0,405.0,474.0,386.2,220.0,506.0,529.2,443.2,160.0,352.0,255.0,432.5,445.0,693.0,588.0,492.0,526.0,610.1,441.0,555.0,647.0,296.0,651.0,415.2,455.0,359.7,451.0,463.0,319.0,494.7,398.7,312.0,475.0,438.9,550.0,471.0,468.0,155.0,485.3
Troy(New York),493.5,322.40000000000003,161.0,0.0,605.4,754.0,280.4,419.2,295.8,670.8,563.2,804.0,314.8,356.5,645.0,281.5,702.0,242.0,668.4,319.8,340.8,482.4,657.4,276.7,1000000000.0,444.0,239.8,306.0,242.0,658.4,248.0,476.0,676.4,216.0,652.0,445.0,294.8,663.9,248.0,218.5,426.4,321.8,244.0,313.0,275.0,79.8,486.4,388.0,303.0,232.0,241.0,327.0,321.3,304.8,532.0,568.4,331.0,365.0,639.3,300.8,484.5,627.4,135.0,490.0,304.0,435.4,245.0,523.0,322.8,472.0,354.5,287.5,171.8,628.0,307.5,389.0,380.4,534.4,14.8,377.5
Baltimore(Maryland),928.3,630.1,576.2,605.4,0.0,228.0,325.0,848.3,700.1,65.4,85.0,399.0,711.1,319.0,119.0,470.1,335.0,366.4,63.0,665.8,691.2,177.0,52.0,401.1,1000000000.0,884.5,628.1,812.1,535.2,53.0,853.4,736.2,71.0,797.8,1088.3,886.4,695.1,179.0,853.4,523.1,230.0,712.1,849.4,770.1,331.3,659.4,119.0,789.3,703.3,416.2,364.4,321.2,285.0,643.1,975.4,201.0,743.9,809.1,33.9,698.8,248.0,167.0,740.4,930.3,312.0,170.0,367.2,125.2,711.1,754.2,631.1,318.8,569.8,603.2,440.6,837.0999999999999,225.0,127.1,594.4,239.3
Cumberland(Maryland),1122.0,823.8,682.0,754.0,228.0,0.0,510.0,1042.0,893.8,218.4,271.2,171.0,904.8,547.0,109.0,663.8,107.0,560.1,187.0,859.5,884.9000000000001,333.0,255.0,594.8,1000000000.0,1078.2,821.8,1005.8,641.0,206.0,1002.0,529.0,179.0,970.0,1282.0,1080.1,888.8,383.0,1002.0,716.8,364.0,905.8,998.0,963.8,525.0,813.0,347.0,983.0,897.0,522.0,549.4,427.0,513.0,836.8,1169.1,429.0,937.6,1002.8,210.0,892.5,476.0,370.0,889.0,1124.0,496.0,398.0,557.0999999999999,231.0,904.8,548.7,824.8,512.5,763.5,377.0,634.3,1030.8,453.0,293.0,748.0,467.3
Paterson(New Jersey),614.0,315.79999999999995,391.4,280.4,325.0,510.0,0.0,534.0,385.79999999999995,390.4,291.0,601.0,396.79999999999995,83.0,401.0,155.8,493.0,52.099999999999994,388.0,351.49999999999994,376.9,202.0,377.0,86.80000000000001,1000000000.0,570.1999999999999,313.79999999999995,497.79999999999995,391.0,378.0,528.4,592.0,396.0,483.5,774.0,572.1,380.79999999999995,383.5,528.4,208.8,146.0,397.79999999999995,524.4,455.79999999999995,36.3,334.4,206.0,475.0,389.0,272.0,39.4,177.0,50.0,328.79999999999995,661.1,288.0,429.59999999999997,494.79999999999995,358.9,384.5,211.0,347.0,415.4,616.0,25.3,155.0,47.1,279.0,396.79999999999995,610.0,316.79999999999995,41.8,255.50000000000003,695.0,126.30000000000001,522.8000000000001,100.0,254.0,269.4,106.0
Biddeford(Maine),80.0,254.1,580.2,419.2,848.3,1042.0,534.0,0.0,153.5,913.6999999999999,823.0,1133.0,168.5,598.5,933.0,388.2,1025.0,481.9,911.3,235.2,245.0,734.0,900.3,447.2,1000000000.0,36.2,220.2,113.2,661.2,901.3,368.2,895.2,919.3,203.2,240.0,38.1,153.2,906.8,363.2,325.2,678.0,189.9,299.2,115.2,517.0,368.2,729.3,59.0,145.0,651.2,494.6,711.0,563.3,236.5,127.1,811.3,133.0,94.1,882.1999999999999,202.2,726.5,870.3,284.2,82.0,546.0,678.3,487.0,811.0,162.0,891.2,269.9,529.5,292.5,1047.2,414.2,30.2,623.3,786.0,433.2,619.5
Cambridge(Massachusetts),233.5,114.0,436.0,295.8,700.1,893.8,385.79999999999995,153.5,0.0,765.5,674.8,984.8,28.4,450.3,784.8,240.0,876.8,333.7,763.1,92.8,99.0,585.8,752.1,299.0,1000000000.0,189.7,72.0,168.0,517.0,753.1,378.0,749.0,771.1,213.0,393.5,191.6,10.8,758.6,373.0,177.0,529.8,50.0,309.0,126.0,368.8,216.0,581.1,94.5,8.5,507.0,346.4,562.8,415.1,96.4,280.6,663.1,99.8,129.6,734.0,149.0,578.3,722.1,294.0,235.5,397.8,530.1,338.8,662.8,67.0,747.0,127.5,381.3,139.0,901.0,266.0,142.3,475.1,637.8,281.0,471.3
Washington(DC),993.6999999999999,695.5,641.6,670.8,65.4,218.4,390.4,913.6999999999999,765.5,0.0,150.4,389.4,776.5,384.4,114.4,535.5,325.4,431.79999999999995,31.7,731.2,756.6,242.4,67.4,466.5,1000000000.0,949.9,693.5,877.5,600.6,12.4,918.8,747.4,43.3,863.1999999999999,1153.6999999999998,951.8,760.5,204.4,918.8,588.5,295.4,777.5,914.8,835.5,396.7,724.8,184.4,854.6999999999999,768.7,481.6,429.79999999999995,386.6,350.4,708.5,1040.8,242.4,809.3,874.5,51.3,764.2,313.4,182.4,805.8,995.6999999999999,377.4,235.4,432.59999999999997,190.6,776.5,767.0999999999999,696.5,384.2,635.2,595.4,506.0,902.4999999999999,290.4,192.5,659.8,304.7
York(Pennsylvania),903.0,604.8,491.2,563.2,85.0,271.2,291.0,823.0,674.8,150.4,0.0,356.0,685.8,313.0,162.2,444.8,250.0,341.1,148.0,640.5,665.9000000000001,92.0,137.0,375.8,1000000000.0,859.2,602.8,786.8,450.2,138.0,811.2,651.2,156.0,772.5,1063.0,861.1,669.8,264.0,811.2,497.8,145.0,686.8,807.2,744.8,306.0,622.2,204.0,764.0,678.0,331.2,330.4,236.2,279.0,617.8,950.1,286.0,718.6,783.8,118.9,673.5,264.0,252.0,698.2,905.0,277.0,164.0,338.09999999999997,40.2,685.8,669.2,605.8,293.5,544.5,518.2,415.3,811.8,219.0,42.1,557.2,233.3
Pittsburgh(Pennsylvania),1213.0,914.8,681.0,804.0,399.0,171.0,601.0,1133.0,984.8,389.4,356.0,0.0,995.8,640.0,280.0,754.8,108.0,651.1,358.0,950.5,975.9000000000001,418.0,426.0,685.8,1000000000.0,1169.2,912.8,1096.8,604.0,377.0,1052.0,358.0,350.0,1020.0,1373.0,1171.1,979.8,554.0,1052.0,807.8,455.0,996.8,1048.0,1054.8,616.0,863.0,518.0,1074.0,988.0,572.0,640.4,477.0,606.0,927.8,1260.1,600.0,1028.6,1093.8,381.0,983.5,591.0,541.0,939.0,1215.0,587.0,491.0,648.1,327.0,995.8,377.7,915.8,603.5,854.5,206.0,725.3,1121.8,546.0,383.0,798.0,560.3
Quincy(Massachusetts),248.5,85.6,455.0,314.8,711.1,904.8,396.79999999999995,168.5,28.4,776.5,685.8,995.8,0.0,461.3,795.8,245.6,887.8,344.7,774.1,70.0,80.0,596.8,763.1,310.0,1000000000.0,204.7,88.0,196.4,536.0,764.1,406.4,768.0,782.1,241.4,408.5,206.6,21.0,769.6,401.4,188.0,540.8,25.6,337.4,154.4,379.8,235.0,592.1,109.5,23.5,526.0,357.4,573.8,426.1,68.0,295.6,674.1,128.2,144.6,745.0,177.4,589.3,733.1,322.4,250.5,408.8,541.1,349.8,673.8,95.4,766.0,104.7,392.3,158.0,920.0,277.0,157.3,486.1,648.8,300.0,482.3
Middletown(New Jersey),678.5,380.3,467.7,356.5,319.0,547.0,83.0,598.5,450.3,384.4,313.0,640.0,461.3,0.0,438.0,220.3,533.0,116.6,382.0,416.0,441.40000000000003,244.0,371.0,151.3,1000000000.0,634.7,378.3,562.3,474.0,372.0,604.5,675.0,390.0,548.0,838.5,636.6,445.3,377.5,604.5,273.3,188.0,462.3,600.5,520.3,81.5,410.7,200.0,539.5,453.5,355.0,115.7,260.0,37.5,393.3,725.6,282.0,494.1,559.3,352.9,449.0,141.0,341.0,491.5,680.5,62.0,149.0,117.4,319.0,461.3,693.0,381.3,69.0,320.0,778.0,190.8,587.3,94.0,277.0,345.7,84.0
Hagerstown(Maryland),1013.0,714.8,573.0,645.0,119.0,109.0,401.0,933.0,784.8,114.4,162.2,280.0,795.8,438.0,0.0,554.8,216.0,451.1,84.0,750.5,775.9000000000001,224.0,152.0,485.8,1000000000.0,969.2,712.8,896.8,532.0,102.0,893.0,638.0,77.0,861.0,1173.0,971.1,779.8,280.0,893.0,607.8,255.0,796.8,889.0,854.8,416.0,704.0,238.0,874.0,788.0,413.0,440.4,318.0,404.0,727.8,1060.1,320.0,828.6,893.8,106.0,783.5,367.0,267.0,780.0,1015.0,387.0,289.0,448.09999999999997,122.0,795.8,657.7,715.8,403.5,654.5,486.0,525.3,921.8,344.0,184.0,639.0,358.3
New Haven(Connecticut),468.2,160.0,421.7,281.5,470.1,663.8,155.8,388.2,240.0,535.5,444.8,754.8,245.6,220.3,554.8,0.0,646.8,103.7,533.1,195.7,221.1,355.8,522.1,69.0,1000000000.0,424.4,168.0,352.0,502.7,523.1,438.7,714.7,541.1,337.7,628.2,426.29999999999995,235.0,528.6,438.7,63.0,299.8,246.6,433.7,310.0,138.8,201.7,351.1,329.2,243.2,394.7,116.4,332.8,185.10000000000002,177.6,515.3,433.1,283.8,349.0,504.0,238.7,348.3,492.1,325.7,470.2,167.8,300.1,108.80000000000001,432.8,251.0,732.7,161.0,151.3,109.7,820.7,35.2,377.0,245.10000000000002,407.8,266.7,241.3
Johnstown(Pennsylvania),1105.0,806.8,630.0,702.0,335.0,107.0,493.0,1025.0,876.8,325.4,250.0,108.0,887.8,533.0,216.0,646.8,0.0,543.1,294.0,842.5,867.9000000000001,316.0,362.0,577.8,1000000000.0,1061.2,804.8,988.8,589.0,313.0,950.0,435.0,286.0,918.0,1265.0,1063.1,871.8,490.0,950.0,699.8,347.0,888.8,946.0,946.8,508.0,761.0,435.0,966.0,880.0,470.0,532.4,375.0,499.0,819.8,1152.1,517.0,920.6,985.8,317.0,875.5,484.0,477.0,837.0,1107.0,479.0,384.0,540.1,221.0,887.8,454.7,807.8,495.5,746.5,283.0,617.3,1013.8,439.0,277.0,696.0,453.3
New Rochelle(New York),561.9,263.7,364.7,242.0,366.4,560.1,52.099999999999994,481.9,333.7,431.79999999999995,341.1,651.1,344.7,116.6,451.1,103.7,543.1,0.0,429.4,299.4,324.8,252.1,418.4,34.7,1000000000.0,518.0999999999999,261.7,445.7,410.0,419.4,490.0,611.0,437.4,431.4,721.9,520.0,328.7,424.9,490.0,156.7,196.1,345.7,486.0,403.7,35.1,295.4,247.4,422.9,336.9,291.0,12.7,229.1,81.4,276.7,609.0,329.4,377.5,442.7,400.29999999999995,332.4,244.6,388.4,377.0,563.9,64.1,196.4,5.1,329.1,344.7,629.0,264.7,47.6,203.39999999999998,717.0,74.2,470.7,141.4,304.1,242.7,137.6
