,Lebanon(New Hampshire),Portsmouth(New Hampshire),Augusta(Maine),Bangor(Maine),Worcester(Massachusetts),Hartford(Connecticut),Biddeford(Maine),New Bedford(Massachusetts),New Haven(Connecticut),Cambridge(Massachusetts),New York City(New York),Providence(Rhode Island),Quincy(Massachusetts),Chelsea(Massachusetts),Auburn(Maine),Boston(Massachusetts),Albany(New York),Fall River(Massachusetts),Keene(New Hampshire),Nashua(New Hampshire),Buffalo(New York),Concord(New Hampshire),Montpelier(Vermont),Bridgeport(Connecticut),Burlington(Vermont),Portland(Maine),Winooski(Vermont),Rutland(Vermont),Springfield(Massachusetts),Manchester(New Hampshire),Westbrook(Maine),Sanford(Maine),Stamford(Connecticut),Newport(Rhode Island),Rochester(New Hampshire),Brockton(Massachusetts),Laconia(New Hampshire),Pittsfield(Massachusetts),Warwick(Rhode Island),Lewiston(Maine)
Lebanon(New Hampshire),0.0,181.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,99.0,146.0,1000000000.0,97.0,96.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,81.0,1000000000.0,115.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,153.0,1000000000.0,90.0,1000000000.0,1000000000.0,1000000000.0
Portsmouth(New Hampshire),181.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,59.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,86.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,172.0,103.0,1000000000.0,75.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,74.0,1000000000.0,47.8,1000000000.0,1000000000.0,35.1,1000000000.0,92.0,1000000000.0,1000000000.0,1000000000.0
Augusta(Maine),1000000000.0,1000000000.0,0.0,123.0,1000000000.0,1000000000.0,132.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,65.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,89.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,98.0,143.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,54.0
Bangor(Maine),1000000000.0,1000000000.0,123.0,0.0,1000000000.0,1000000000.0,240.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,185.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,208.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,214.0,263.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,167.0
Worcester(Massachusetts),1000000000.0,1000000000.0,1000000000.0,1000000000.0,0.0,105.0,1000000000.0,114.0,1000000000.0,72.0,1000000000.0,65.0,92.0,83.0,1000000000.0,67.0,1000000000.0,91.0,1000000000.0,83.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,83.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,99.0,1000000000.0,160.0,1000000000.0,1000000000.0
Hartford(Connecticut),1000000000.0,1000000000.0,1000000000.0,1000000000.0,105.0,0.0,1000000000.0,1000000000.0,63.0,1000000000.0,1000000000.0,120.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,89.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,46.7,1000000000.0,1000000000.0,1000000000.0,122.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Biddeford(Maine),1000000000.0,59.0,132.0,240.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,80.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,38.1,1000000000.0,1000000000.0,1000000000.0,1000000000.0,36.2,30.2,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,82.0
New Bedford(Massachusetts),1000000000.0,1000000000.0,1000000000.0,1000000000.0,114.0,1000000000.0,1000000000.0,0.0,1000000000.0,99.0,1000000000.0,1000000000.0,80.0,100.0,1000000000.0,93.0,1000000000.0,25.4,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,182.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,60.0,1000000000.0,261.0,1000000000.0,1000000000.0
New Haven(Connecticut),1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,63.0,1000000000.0,1000000000.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,35.2,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,69.0,161.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,160.0,1000000000.0
Cambridge(Massachusetts),1000000000.0,1000000000.0,1000000000.0,1000000000.0,72.0,1000000000.0,1000000000.0,99.0,1000000000.0,0.0,1000000000.0,1000000000.0,28.4,8.5,1000000000.0,10.8,1000000000.0,103.0,1000000000.0,67.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,139.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,59.0,1000000000.0,216.0,1000000000.0,1000000000.0
