,Albany(New York),Biddeford(Maine),Manchester(New Hampshire),New York City(New York),Middletown(New Jersey),Baltimore(Maryland),Portsmouth(New Hampshire),Wilmington-D(Delaware),Silver Spring(Maryland),Sanford(Maine),Providence(Rhode Island),Brockton(Massachusetts),Virginia Beach(Virginia),Lewiston(Maine),Newport(Rhode Island),Seaford(Delaware),Bangor(Maine),Winooski(Vermont),Hartford(Connecticut),Cumberland(Maryland),Pittsburgh(Pennsylvania),Concord(New Hampshire),Utica(New York),Tonawanda(New York),Portland(Maine),Johnstown(Pennsylvania),Syracuse(New York),Bridgeport(Connecticut),Montpelier(Vermont),Hamilton(New Jersey),Gaithersburg(Maryland),Washington(DC),Columbia(Maryland),Rochester(New Hampshire),Reading(Pennsylvania),Rutland(Vermont),Mount Vernon(New York),Salisbury(Maryland),Fall River(Massachusetts),Yonkers(New York),Worcester(Massachusetts),Trenton(New Jersey),Erie(Pennsylvania),Springfield(Massachusetts),Stamford(Connecticut),Rockville(Maryland),New Rochelle(New York),Annapolis(Maryland),York(Pennsylvania),Binghamton(New York),Lancaster(Pennsylvania),Buffalo(New York),Keene(New Hampshire),Burlington(Vermont),Quincy(Massachusetts),Augusta(Maine),Auburn(Maine),Laconia(New Hampshire),Allentown(Pennsylvania),Hagerstown(Maryland),Troy(New York),Scranton(Pennsylvania),Pittsfield(Massachusetts),Lebanon(New Hampshire),Warwick(Rhode Island),Westbrook(Maine),Dover(Delaware),Paterson(New Jersey),Newark(New Jersey),Jersey City(New Jersey),Chelsea(Massachusetts),Nashua(New Hampshire),Philadelphia(Pennsylvania),Woodbridge(New Jersey),Boston(Massachusetts),Cambridge(Massachusetts),New Haven(Connecticut),Harrisburg(Pennsylvania),Atlantic City(New Jersey),New Bedford(Massachusetts)
Albany(New York),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biddeford(Maine),0.0,0.0,0.8476206,0.85206276,0.70235234,0.768435,0.0,0.7309325,0.8193666,0.8383729,0.8476206,0.8129452,0.8153044,0.8476206,0.74166805,0.8673063,0.8129452,0.0,0.7814618,0.81163174,0.7782133,0.0,0.699287,0.75862896,0.79869866,0.8484244,0.8532609,0.8476206,0.76652455,0.8453298,0.8836206,0.84925765,0.75827354,0.897551,0.8476206,0.72967625,0.8476206,0.8484244,0.8673063,0.8149054,0.75689536,0.8476206,0.8116877,0.8484244,0.77413243,0.76254785,0.9559677,0.76677763,0.8404635,0.7791652,0.7761026,0.7735634,0.9008158,0.985,0.7990034,0.96327204,0.8484244,0.8476206,0.91912204,0.82729167,0.81114584,0.9228781,0.7001491,0.8673063,0.80196995,0.79601127,0.8476206,0.80518454,0.8673063,0.8476206,0.8476206,0.8174241,0.7900286,0.9033333,0.8673063,0.8881319,0.0,0.7871712,0.83554083,0.8383729
Manchester(New Hampshire),0.0,0.8476206,0.0,0.89154136,0.8286164,0.90657896,0.0,0.84016454,0.96666664,0.8488614,1.0,0.9590909,0.9202554,1.0,0.875,0.96753246,0.9590909,0.0,0.8393008,0.8798759,0.91811514,0.0,0.825,0.8627534,0.842556,0.9714286,0.9027778,1.0,0.7191532,0.8405559,0.9245614,0.88860625,0.8699003,0.8924822,1.0,0.8608524,1.0,0.9714286,0.96753246,0.9614035,0.8929648,1.0,0.9576073,0.9714286,0.7304478,0.84451807,0.86277705,0.8553866,0.85097826,0.8921283,0.915625,0.89285713,0.81300145,0.8605285,0.73807377,0.87993896,0.9714286,1.0,0.9222068,0.95357144,0.9456522,0.91766626,0.7902767,0.96753246,0.8502589,0.87738705,1.0,0.9462089,0.96753246,1.0,1.0,0.964375,0.9045666,0.9096704,0.96753246,0.95438594,0.0,0.9286834,0.9619932,0.8488614
New York City(New York),0.0,0.85206276,0.89154136,0.0,0.7387458,0.80825263,0.0,0.7490415,0.86182326,0.8233525,0.89154136,0.8550692,0.8423228,0.89154136,0.78009874,0.9122471,0.8550692,0.0,0.85280085,0.7970905,0.81853765,0.0,0.7355216,0.82788366,0.7644887,0.8660688,0.8189021,0.89154136,0.6853669,0.75582844,0.96428573,0.92678577,0.8215294,0.8025206,0.89154136,0.7674855,0.89154136,0.8660688,0.9122471,0.857131,0.79611504,0.89154136,0.85374653,0.8660688,0.69216925,0.78185976,0.8145445,0.8065094,0.8254057,0.79536927,0.82294637,0.7960191,0.76755154,0.86503834,0.71440697,0.86128324,0.8660688,0.89154136,0.90265495,0.8501484,0.84308803,0.8251661,0.7233514,0.9122471,0.89908683,0.78222686,0.89154136,0.84358436,0.9122471,0.89154136,0.89154136,0.85978025,0.80645853,0.8110088,0.9122471,0.9341518,0.0,0.82795966,0.8576568,0.8233525
Middletown(New Jersey),0.0,0.70235234,0.8286164,0.7387458,0.0,0.75120616,0.0,0.6961741,0.8009958,0.7266082,0.8286164,0.79471844,0.76253873,0.8286164,0.72503936,0.80365855,0.79471844,0.0,0.6954584,0.7290796,0.76076525,0.0,0.68360853,0.7148916,0.6981557,0.80494165,0.7480565,0.8286164,0.59590214,0.72173196,0.7661067,0.7363137,0.72081363,0.7663177,0.8286164,0.71331644,0.8286164,0.80494165,0.80365855,0.7966347,0.7399252,0.8286164,0.7934891,0.80494165,0.605261,0.6997815,0.7166459,0.7105072,0.72480077,0.7392321,0.75870186,0.73983604,0.67530096,0.71304804,0.61158,0.7291319,0.80494165,0.8286164,0.7641557,0.7901449,0.78358287,0.7603933,0.65483624,0.80365855,0.70453846,0.7270173,0.8286164,0.7840442,0.80365855,0.8286164,0.8286164,0.79909694,0.7495387,0.7537678,0.80365855,0.7908198,0.0,0.76952225,0.7971233,0.7266082
Baltimore(Maryland),0.0,0.768435,0.90657896,0.80825263,0.75120616,0.0,0.0,0.7616755,0.87635964,0.8426471,0.90657896,0.86949164,0.8342842,0.90657896,0.7932566,0.8771446,0.86949164,0.0,0.77547956,0.797677,0.8323439,0.0,0.7479276,0.7821541,0.76384354,0.8806767,0.81843936,0.90657896,0.6519692,0.7620303,0.8381879,0.8055917,0.7886333,0.8091056,0.90657896,0.9495614,0.90657896,0.8806767,0.8771446,0.8715882,0.82678497,0.90657896,0.86814666,0.8806767,0.6924052,0.8340081,0.7963424,0.77547556,0.84055096,0.8087847,0.83008635,0.8094455,0.845098,0.78013706,0.71465045,0.7977342,0.8806767,0.90657896,0.8360533,0.8644878,0.8573084,0.8319369,0.71644825,0.8771446,0.7708268,0.79542065,0.90657896,0.85781306,0.8771446,0.90657896,0.90657896,0.8742821,0.820061,0.8246881,0.8771446,0.8652262,0.0,0.85985637,0.8721228,0.8426471
Portsmouth(New Hampshire),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilmington-D(Delaware),0.0,0.7309325,0.84016454,0.7490415,0.6961741,0.7616755,0.0,0.0,0.81215906,0.855,0.84016454,0.8057942,0.773166,0.84016454,0.73514396,0.8128865,0.8057942,0.0,0.7868479,0.7392405,0.7713678,0.0,0.69313574,0.7638577,0.7078857,0.81615984,0.75848186,0.84016454,0.60420704,0.7062053,0.7767837,0.7465755,0.7308594,0.7498319,0.84016454,0.72325766,0.84016454,0.81615984,0.8128865,0.8077371,0.75023735,0.84016454,0.8045477,0.81615984,0.61369634,0.7776712,0.7248747,0.71866554,0.85287315,0.7495346,0.76927567,0.7501469,0.683055,0.7277247,0.6201034,0.74413955,0.81615984,0.84016454,0.7798843,0.88107145,0.79450345,0.77099067,0.6639625,0.8128865,0.71435744,0.7371495,0.84016454,0.79497117,0.8128865,0.84016454,0.84016454,0.8102337,0.7599848,0.7642728,0.8128865,0.80184126,0.0,0.78024685,0.8082326,0.855
Silver Spring(Maryland),0.0,0.8193666,0.96666664,0.86182326,0.8009958,0.87635964,0.0,0.81215906,0.0,0.820566,0.96666664,0.92712116,0.8895802,0.96666664,0.8458333,0.93528134,0.92712116,0.0,0.8113241,0.85054666,0.8875113,0.0,0.79749995,0.8339949,0.81447077,0.9390476,0.8726852,0.96666664,0.6951814,0.8125374,0.8937426,0.85898596,0.8409036,0.86273277,0.96666664,0.8321573,0.96666664,0.9390476,0.93528134,0.9293567,0.86319923,0.96666664,0.9256871,0.9390476,0.70609957,0.8163674,0.8340178,0.8268737,0.8226123,0.86239064,0.8851041,0.8630952,0.78590137,0.8318442,0.7134713,0.85060763,0.9390476,0.96666664,0.89146656,0.9217857,0.91413045,0.88707733,0.76393414,0.93528134,0.8219169,0.8481408,0.96666664,0.91466856,0.93528134,0.96666664,0.96666664,0.93222916,0.8744143,0.87934804,0.93528134,0.92257303,0.0,0.89772725,0.92992675,0.820566
Sanford(Maine),0.0,0.8383729,0.8488614,0.8233525,0.7266082,0.8426471,0.0,0.855,0.820566,0.0,0.8488614,0.83457714,0.78363025,0.8488614,0.74275374,0.86072296,0.83457714,0.0,0.9202899,0.80547094,0.77935255,0.0,0.70031065,0.8934008,0.81136364,0.8246082,0.7663332,0.8488614,0.6925727,0.82049125,0.853847,0.8468235,0.75251776,0.871178,0.8488614,0.80014515,0.8488614,0.8246082,0.86072296,0.81609833,0.85316026,0.8488614,0.81287587,0.8246082,0.6994466,0.9095569,0.8014574,0.8261693,0.99751246,0.7572933,0.77723867,0.757912,0.75521946,0.85113996,0.72191817,0.8703386,0.8246082,0.8488614,0.9121453,0.80945,0.82356733,0.8472697,0.70570576,0.86072296,0.7402654,0.76508665,0.8488614,0.8032002,0.86072296,0.8488614,0.8488614,0.81862074,0.76785165,0.8682393,0.86072296,0.88139045,0.0,0.8872867,0.86177737,1.0
