,Allentown(Pennsylvania),Rochester(New Hampshire),Rockville(Maryland),Trenton(New Jersey),Woodbridge(New Jersey),Bangor(Maine),Westbrook(Maine),Springfield(Massachusetts),Warwick(Rhode Island),Buffalo(New York),New Rochelle(New York),Columbia(Maryland),Auburn(Maine),Atlantic City(New Jersey),New Haven(Connecticut),Rutland(Vermont),New Bedford(Massachusetts),Newport(Rhode Island),Mount Vernon(New York),Cambridge(Massachusetts),Bridgeport(Connecticut),Salisbury(Maryland),Wilmington-D(Delaware),Yonkers(New York),Reading(Pennsylvania),Harrisburg(Pennsylvania),Pittsfield(Massachusetts),Lewiston(Maine),Concord(New Hampshire),Seaford(Delaware),Portland(Maine),Cumberland(Maryland),Pittsburgh(Pennsylvania),Boston(Massachusetts),Keene(New Hampshire),Washington(DC),Quincy(Massachusetts),Philadelphia(Pennsylvania),Chelsea(Massachusetts),Biddeford(Maine),Fall River(Massachusetts),Annapolis(Maryland),Providence(Rhode Island),Scranton(Pennsylvania),Stamford(Connecticut),Hagerstown(Maryland),Johnstown(Pennsylvania),Dover(Delaware),Lebanon(New Hampshire),Utica(New York),Manchester(New Hampshire),Jersey City(New Jersey),Montpelier(Vermont),Binghamton(New York),Sanford(Maine),Gaithersburg(Maryland),Middletown(New Jersey),Albany(New York),Nashua(New Hampshire),York(Pennsylvania),Tonawanda(New York),Burlington(Vermont),Lancaster(Pennsylvania),Brockton(Massachusetts),Paterson(New Jersey),Troy(New York),Winooski(Vermont),Portsmouth(New Hampshire),Worcester(Massachusetts),Laconia(New Hampshire),Hartford(Connecticut),Baltimore(Maryland),Silver Spring(Maryland),New York City(New York),Syracuse(New York),Erie(Pennsylvania),Augusta(Maine),Hamilton(New Jersey),Virginia Beach(Virginia),Newark(New Jersey)
Allentown(Pennsylvania),0.0,0.4387213963879923,0.7709766533732136,0.0,0.0,0.0,0.0,0.0,0.7364583333333333,0.0,0.7539745862884161,0.0,0.0,0.0,0.0,0.0,0.0,0.4894345238095238,0.0,0.966282894736842,0.5495413197656491,0.0,0.0,0.0,0.0,0.6952956989247312,0.0,0.0,0.0,0.7519074675324675,0.0,0.8830510752688172,0.0,0.0,0.0,0.7333333333333334,0.0,0.0,0.6330645161290323,0.0,0.8427083333333334,0.0,0.0,0.0,0.5167656485671192,0.37916666666666665,0.0,0.6402597402597403,0.88125,0.0,0.4421665681639086,0.0,0.7509801993181222,0.7211204789833823,0.0,0.0,0.0,0.0,0.4250960048328339,0.914419934640523,0.0,0.8182202518104016,0.0,0.0,0.6879374337221633,0.25047860360360363,0.0,0.0,0.803926282051282,0.8798295454545455,0.0,0.6529463780418789,0.6520833333333333,0.0,0.5443142361111111,0.0,0.9541666666666666,0.0,0.36609848484848484,0.0
Rochester(New Hampshire),0.4387213963879923,0.0,0.0,0.6962697545861847,0.6292062574017461,0.60437552213868,0.514532225645419,0.5075834618597777,0.6815302144249513,0.0,0.5775769472943442,0.0,0.0,0.0,0.0,0.0,0.8711779448621553,0.7459752004249975,0.0,0.4914570910033705,0.41652261151412256,0.0,0.7093596059113301,0.0,0.34808114765011317,0.48031913639899115,0.6590659340659341,0.5598902068389364,0.0,0.0,0.0,0.5779487179487179,0.6779773307790549,0.5198583743842364,0.0,0.0,0.0,0.7641070525537791,0.8371305418719213,0.0,0.0,0.0,0.7086466165413534,0.9725563909774436,0.43534085491816304,0.0,0.0,0.0,0.0,0.6632034632034631,0.0,0.0,0.0,0.0,0.0,0.0,0.7663177339901478,0.0,0.0,0.812192118226601,0.5642618251313903,0.5763291270537207,0.4505539899952329,0.0,0.4656706421225477,0.5132838503528159,0.0,0.0,0.6892051913603637,0.7065000373190028,0.707505155229694,0.5741253912333234,0.0,0.6037593984962406,0.0,0.7475734791524266,0.5699644477947834,0.9418181818181818,0.5498491704374057,0.0
Rockville(Maryland),0.7709766533732136,0.0,0.0,0.0,0.48688676989037316,0.0,0.0,0.0,0.5938063063063063,0.0,0.5175455704430769,0.0,0.74375,0.0,0.0,0.0,0.7859234234234234,0.0,0.0,0.0,0.42434863925030336,0.0,0.61171875,0.611310223266745,0.0,0.9093713278495887,0.7185673747986809,0.3530812089818301,0.0,0.0,0.4921454451345756,0.8606051703877791,0.5601427514470992,0.5292248255234298,0.6706815511163338,0.0,0.0,0.0,0.0,0.6447715053763441,0.0,0.0,0.7210989100044572,0.6450333167905864,0.6567741935483871,0.0,0.583500380175572,0.8255097400692366,0.6075757575757575,0.0,0.6205254999456139,0.0,0.0,0.7055658213329935,0.9095569490119535,0.8108175473579262,0.6346305031446541,0.0,0.5030076437354604,0.7078480334554503,0.624014814503945,0.5455468758559485,0.6765069169960474,0.0,0.6305316091954023,0.0,0.0,0.0,0.6593406593406593,0.0,0.5159090909090909,0.834008097165992,0.0,0.5127351097178683,0.0,0.5318000328519262,0.49175759013282727,0.5078132294193507,0.27841251885369533,0.4033244680851064
Trenton(New Jersey),0.0,0.6962697545861847,0.0,0.0,0.73046875,0.0,0.0,0.8559399801587302,0.3312419250645995,0.0,0.7795381310418904,0.0,0.0,0.0,0.0,0.7413528164302159,0.6828034362620261,0.6018701070171659,0.8571428571428572,0.642087542087542,0.0,0.5828993055555556,0.0,0.0,1.0,0.0,0.0,0.8414965986394558,0.0,0.0,0.592226957070707,0.0,0.5407122331691298,0.0,0.19384057971014493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29681215233204966,0.0,0.0,0.7627283868092691,0.7138261217948718,0.8549952651515151,0.0,1.0,1.0,0.0,0.6594775967066988,0.0,0.4751131221719457,0.48044704093538726,0.0,0.6326974496092144,0.0,0.0,0.44844861021331606,0.7479197628788511,0.0,0.0,0.0,0.0,0.0,0.0,0.6053503787878788,0.78125,0.5310814950980391,0.0,0.0,0.8513888888888889,0.9196428571428572,0.0,0.0,0.6148897058823529,0.8107142857142857
Woodbridge(New Jersey),0.0,0.6292062574017461,0.48688676989037316,0.73046875,0.0,0.5099206349206349,0.8811933375500738,0.915452694235589,0.6646340308533583,0.0,0.0,0.6094905462184874,0.8192455918065674,0.7120736808236808,0.0,0.0,0.8193877551020409,0.6032457719930078,0.5391950113378685,0.743421052631579,0.7344341644153674,0.0,0.0,0.0,0.7525337837837838,0.0,0.36162330316742086,0.9096703980099503,0.0,0.0,0.3859707146087743,0.0,0.8037037037037037,0.52324013051625,0.4921187773354956,0.0,0.0,0.0,0.7599502487562189,0.9033333333333333,0.0,0.0,0.60541132494977,0.4303418803418803,0.6901360544217687,0.5587137127578304,0.0,0.0,0.0,0.0,0.5759972848788638,0.7189716312056738,0.0,0.7112543343886627,0.37857142857142856,0.820429104477612,0.0,0.0,0.510551948051948,0.8704044117647058,0.0,0.6048028725660305,0.7841404358353511,0.0,0.8913482498119296,0.5487208990707125,0.0,0.0,0.0,0.0,0.46689955051788157,0.6346938775510205,0.0,0.0,0.773839353130398,0.73032622139765,0.0,0.7086806120640707,0.9025510204081633,0.8608090842720066
Bangor(Maine),0.0,0.60437552213868,0.0,0.0,0.5099206349206349,0.0,0.3906885334779072,0.5766178266178266,0.7313969813969814,0.0,0.0,0.0,0.7115079365079365,0.939484126984127,0.0,0.8561507936507937,0.7185966810966811,0.7753246753246753,0.0,0.5877454051796157,0.0,0.0,0.0,0.0,0.0,0.6968614718614718,0.6236797924297924,0.9590909090909091,0.0,0.0,0.0,0.8571428571428572,0.7337513061650993,0.474818563789152,0.0,0.0,0.0,0.0,0.0,0.0,0.8686475934459805,0.0,0.753517316017316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8345771144278606,0.0,0.6122627696641707,0.0,0.0,0.8333333333333333,0.0,0.7625813766366761,0.0,1.0,0.0,0.6700148809523809,0.0,0.0,0.0,0.0,0.0,0.6182072829131653,0.0,0.8343253968253969,0.4976190476190476,0.0,0.0,0.6638855166572558,0.0,0.766998001998002
Westbrook(Maine),0.0,0.514532225645419,0.0,0.0,0.8811933375500738,0.3906885334779072,0.0,0.7447204968944099,0.55054783771216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6381087919038584,0.6533963585434174,0.6901154401154401,0.0,0.0,0.0,0.661556905370844,0.0,0.0,0.5521664642988172,0.6260612578364679,0.0,0.0,0.8654756770743488,0.7463235294117647,0.6940340652389988,0.38667582417582413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7263894194041253,0.0,0.877387041773231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49599842980405795,0.0,0.5381643111790171,0.7335072738772929,0.7867398648648649,0.0,0.0,0.0,0.12729885057471263,0.0,0.0,0.0,0.7222973637615582,0.0,0.47049229010546145,0.0,0.0,0.0,0.0,0.0,0.0,0.5054580982895777,0.7228573687539532,0.0
Springfield(Massachusetts),0.0,0.5075834618597777,0.0,0.8559399801587302,0.915452694235589,0.5766178266178266,0.7447204968944099,0.0,0.711087996142344,0.0,0.0,0.8178571428571428,0.7766847481786506,0.6376447876447877,0.0,0.0,0.0,0.0,0.40426587301587297,0.0,0.725,1.0,0.0,0.6880978260869566,0.0,0.0,0.3402777777777778,0.0,0.0,0.6938817396054238,0.702274558451884,0.0,0.47834757834757835,0.0,0.7123355263157894,0.7846153846153847,0.0,0.0,0.7597527472527472,0.0,0.0,0.626541514041514,0.0,0.3214694510666911,0.70627929418252,0.0,0.378456510809452,0.621474358974359,0.5260683760683761,0.0,0.0,0.9576923076923077,0.0,0.0,0.0,0.0,0.6523726108971616,0.0,0.0,0.0,0.0,0.5866071428571428,0.5226190476190476,0.0,0.0,0.6674792028052897,0.0,0.0,0.0,0.8061507936507937,0.0,0.0,0.6457142857142857,0.5585826898326898,0.624465811965812,0.6582308036945134,0.0,0.7135869565217392,0.0,0.5236385511651469
Warwick(Rhode Island),0.7364583333333333,0.6815302144249513,0.5938063063063063,0.3312419250645995,0.6646340308533583,0.7313969813969814,0.55054783771216,0.711087996142344,0.0,0.7314311594202898,0.4777651254179255,0.0,0.0,0.0,0.0,0.6233913278750236,0.5906503768485568,0.6078472987687583,0.6890000771672986,0.44716614906832297,0.781524926686217,0.587790731908379,0.40351138565891476,0.3939723320158103,0.0,0.5211770057316034,0.609717820565126,0.7511316108901099,0.0,0.0,0.0,0.0,0.5435892287636473,0.294047619047619,0.5963539035335375,0.7328997998156458,0.34840503699199354,0.6544415812708495,0.6176470588235294,0.8019699625993455,0.46710408535227727,0.4479539355992844,0.0,0.5981884057971014,0.6505623799188784,0.7683982683982684,0.7598039215686274,0.5576047259990411,0.6645314145314145,0.0,0.611358814097945,0.697563983965464,0.6605294189230794,0.0,0.4587781510513873,0.7700354609929078,0.6297825450319843,0.0,0.33508337450592884,0.6608695652173913,0.5375844594594594,0.7425779499020039,0.7150203692639234,0.4107091025194473,0.36116742561287507,0.695046439628483,0.0,0.0,0.6807283247500638,0.7388339920948617,0.6329579619039609,0.5733253588516747,0.7322966727314554,0.8990868585977282,0.8048524844720496,0.8878992628992629,0.7413419913419913,0.44810322427170257,0.8279859763364485,0.7239020270270271
Buffalo(New York),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7314311594202898,0.0,0.0,0.6672023809523809,0.0,0.0,0.0,0.6770833333333333,0.5754271235521236,0.0,0.0,0.4567099567099567,0.713325652841782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6135119047619048,0.0,0.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516504329004329,0.9117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.6446428571428571,0.0,0.0,0.3713815789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571428,0.7462527056277056,0.7892331932773109,0.0,0.0,0.0,0.6145833333333334,0.0,0.0,0.47620798319327734,0.8580540293040293
