,Lebanon(New Hampshire),Portsmouth(New Hampshire),Augusta(Maine),Bangor(Maine),Worcester(Massachusetts),Hartford(Connecticut),Biddeford(Maine),New Bedford(Massachusetts),New Haven(Connecticut),Cambridge(Massachusetts),New York City(New York),Providence(Rhode Island),Quincy(Massachusetts),Chelsea(Massachusetts),Auburn(Maine),Boston(Massachusetts),Albany(New York),Fall River(Massachusetts),Keene(New Hampshire),Nashua(New Hampshire),Buffalo(New York),Concord(New Hampshire),Montpelier(Vermont),Bridgeport(Connecticut),Burlington(Vermont),Portland(Maine),Winooski(Vermont),Rutland(Vermont),Springfield(Massachusetts),Manchester(New Hampshire),Westbrook(Maine),Sanford(Maine),Stamford(Connecticut),Newport(Rhode Island),Rochester(New Hampshire),Brockton(Massachusetts),Laconia(New Hampshire),Pittsfield(Massachusetts),Warwick(Rhode Island),Lewiston(Maine)
Lebanon(New Hampshire),0.0,172.0,316.0,436.0,229.0,274.7,203.2,312.0,337.7,213.0,560.0,294.0,241.4,219.0,277.5,223.8,289.0,305.8,99.0,146.0,757.0,97.0,96.0,363.7,165.0,229.0,160.0,81.0,228.0,115.0,228.0,173.0,396.7,340.5,149.0,263.0,90.0,224.0,311.6,274.0
Portsmouth(New Hampshire),172.0,0.0,186.1,299.0,161.2,266.2,59.0,186.0,329.2,94.5,645.2,177.5,109.5,86.0,139.0,94.2,374.2,176.2,162.0,103.0,842.2,75.0,268.0,355.2,337.0,97.1,332.0,253.0,233.5,74.0,95.2,47.8,388.2,210.9,35.1,130.9,92.0,309.2,195.1,141.0
Augusta(Maine),316.0,186.1,0.0,123.0,347.3,452.3,127.1,372.1,515.3,280.6,831.3,363.6,295.6,272.1,57.5,280.3,560.3,362.3,315.0,287.0,1028.3,228.0,412.0,541.3,481.0,89.0,476.0,397.0,419.6,255.5,98.0,143.0,574.3,397.0,221.2,317.0,226.0,495.3,381.2,54.0
Bangor(Maine),436.0,299.0,123.0,0.0,460.2,565.2,240.0,485.0,628.2,393.5,944.2,476.5,408.5,385.0,170.5,393.2,673.2,475.2,435.0,402.0,1141.2,348.0,532.0,654.2,601.0,208.0,596.0,517.0,532.5,373.0,214.0,263.0,687.2,509.90002,334.1,429.9,346.0,608.2,494.1,167.0
Worcester(Massachusetts),229.0,161.2,347.3,460.2,0.0,105.0,220.2,114.0,168.0,72.0,496.0,65.0,88.0,75.2,300.2,67.0,225.0,91.0,165.0,83.0,693.0,142.0,325.0,194.0,394.0,258.3,389.0,299.0,83.0,115.8,256.4,209.0,227.0,125.7,181.0,99.0,184.0,160.0,82.6,302.2
Hartford(Connecticut),274.7,266.2,452.3,565.2,105.0,0.0,325.2,175.2,63.0,177.0,474.7,120.0,188.0,180.2,405.2,172.0,203.7,149.8,175.7,188.0,671.7,247.0,370.7,89.0,375.7,363.3,375.7,262.7,46.7,220.8,361.4,314.0,122.0,181.0,286.0,189.0,289.0,138.7,137.6,407.2
Biddeford(Maine),203.2,59.0,127.1,240.0,220.2,325.2,0.0,245.0,388.2,153.5,704.2,236.5,168.5,145.0,80.0,153.2,433.2,235.2,202.2,162.0,901.2,115.2,299.2,414.2,368.2,38.1,363.2,284.2,292.5,133.0,36.2,30.2,447.2,269.9,94.1,189.9,113.2,368.2,254.1,82.0
New Bedford(Massachusetts),312.0,186.0,372.1,485.0,114.0,175.2,245.0,0.0,221.1,99.0,597.0,55.199997,80.0,100.0,325.0,93.0,326.0,25.4,248.0,166.0,794.0,225.0,408.0,256.3,477.0,283.1,472.0,393.0,182.0,198.8,281.2,233.8,290.1,60.1,221.1,60.0,267.0,261.0,72.8,327.0
New Haven(Connecticut),337.7,329.2,515.3,628.2,168.0,63.0,388.2,221.1,0.0,240.0,537.7,177.6,245.6,243.2,468.2,235.0,266.7,195.7,238.7,251.0,734.7,310.0,433.7,35.2,438.7,426.3,438.7,325.7,109.7,283.8,424.4,377.0,69.0,161.0,349.0,246.6,352.0,201.7,160.0,470.2
Cambridge(Massachusetts),213.0,94.5,280.6,393.5,72.0,177.0,153.5,99.0,240.0,0.0,552.0,96.4,28.4,8.5,233.5,10.8,281.0,92.8,149.0,67.0,749.0,126.0,309.0,266.0,378.0,191.6,373.0,294.0,139.0,99.8,189.7,142.3,299.0,127.5,129.6,50.0,168.0,216.0,114.0,235.5
New York City(New York),560.0,645.2,831.3,944.2,496.0,474.7,704.2,597.0,537.7,552.0,0.0,561.0,571.0,559.2,784.2,551.0,271.0,576.0,557.0,579.0,739.0,638.0,588.0,563.7,592.0,742.3,592.0,479.0,428.0,611.8,740.4,693.0,596.7,610.7,677.0,578.0,650.0,336.0,578.6,786.2
Providence(Rhode Island),294.0,177.5,363.6,476.5,65.0,120.0,236.5,55.199997,177.6,96.4,561.0,0.0,68.0,91.5,316.5,89.0,290.0,29.8,230.0,148.0,758.0,207.0,390.0,209.0,459.0,274.6,454.0,364.0,148.0,180.8,272.7,225.3,242.0,61.0,212.6,69.0,249.0,225.0,17.6,318.5
Quincy(Massachusetts),241.4,109.5,295.6,408.5,88.0,188.0,168.5,80.0,245.6,28.4,571.0,68.0,0.0,23.5,248.5,21.0,300.0,70.0,177.4,95.4,768.0,154.4,337.4,277.0,406.4,206.6,401.4,322.4,158.0,128.2,204.7,157.3,310.0,104.7,144.6,25.6,196.4,235.0,85.6,250.5
Chelsea(Massachusetts),219.0,86.0,272.1,385.0,75.2,180.2,145.0,100.0,243.2,8.5,559.2,91.5,23.5,0.0,225.0,8.2,288.2,90.2,155.0,73.0,756.2,132.0,315.0,269.2,384.0,183.1,379.0,300.0,147.5,105.8,181.2,133.8,302.2,124.899994,121.1,44.9,174.0,223.2,109.1,227.0
Auburn(Maine),277.5,139.0,57.5,170.5,300.2,405.2,80.0,325.0,468.2,233.5,784.2,316.5,248.5,225.0,0.0,233.2,513.2,315.2,276.5,242.0,981.2,189.5,373.5,494.2,442.5,54.0,437.5,358.5,372.5,213.0,54.0,104.5,527.2,349.90002,174.1,269.9,187.5,448.2,334.1,3.5
Boston(Massachusetts),223.8,94.2,280.3,393.2,67.0,172.0,153.2,93.0,235.0,10.8,551.0,89.0,21.0,8.2,233.2,0.0,280.0,82.0,159.8,77.8,748.0,136.8,319.8,261.0,388.8,191.3,383.8,304.8,142.0,110.600006,189.4,142.0,294.0,116.7,129.3,39.2,178.8,215.0,106.6,235.2
Albany(New York),289.0,374.2,560.3,673.2,225.0,203.7,433.2,326.0,266.7,281.0,271.0,290.0,300.0,288.2,513.2,280.0,0.0,305.0,286.0,308.0,468.0,367.0,317.0,292.7,321.0,471.3,321.0,208.0,157.0,340.8,469.4,422.0,325.7,339.7,406.0,307.0,379.0,65.0,307.6,515.2
Fall River(Massachusetts),305.8,176.2,362.3,475.2,91.0,149.8,235.2,25.4,195.7,92.8,576.0,29.8,70.0,90.2,315.2,82.0,305.0,0.0,241.8,159.8,773.0,218.8,401.8,230.9,470.8,273.3,465.8,376.0,160.0,192.6,271.4,224.0,264.7,34.7,211.3,51.0,260.8,240.0,47.4,317.2
Keene(New Hampshire),99.0,162.0,315.0,435.0,165.0,175.7,202.2,248.0,238.7,149.0,557.0,230.0,177.4,155.0,276.5,159.8,286.0,241.8,0.0,82.0,754.0,87.0,195.0,264.7,264.0,228.0,259.0,180.0,129.0,90.0,227.0,172.0,297.7,276.5,144.0,199.0,129.0,221.0,247.6,273.0
Nashua(New Hampshire),146.0,103.0,287.0,402.0,83.0,188.0,162.0,166.0,251.0,67.0,579.0,148.0,95.4,73.0,242.0,77.8,308.0,159.8,82.0,0.0,776.0,59.0,242.0,277.0,311.0,200.0,306.0,227.0,166.0,32.8,198.2,144.0,310.0,194.5,98.0,117.0,101.0,243.0,165.6,244.0
Buffalo(New York),757.0,842.2,1028.3,1141.2,693.0,671.7,901.2,794.0,734.7,749.0,739.0,758.0,768.0,756.2,981.2,748.0,468.0,773.0,754.0,776.0,0.0,835.0,785.0,760.7,789.0,939.3,789.0,676.0,625.0,808.8,937.4,890.0,793.7,807.7,874.0,775.0,847.0,533.0,775.6,983.2
Concord(New Hampshire),97.0,75.0,228.0,348.0,142.0,247.0,115.2,225.0,310.0,126.0,638.0,207.0,154.4,132.0,189.5,136.8,367.0,218.8,87.0,59.0,835.0,0.0,193.0,336.0,262.0,141.0,257.0,178.0,216.0,27.5,140.0,85.0,369.0,253.5,57.0,176.0,43.7,302.0,224.6,186.0
Montpelier(Vermont),96.0,268.0,412.0,532.0,325.0,370.7,299.2,408.0,433.7,309.0,588.0,390.0,337.4,315.0,373.5,319.8,317.0,401.8,195.0,242.0,785.0,193.0,0.0,459.7,69.0,325.0,64.0,109.0,324.0,211.0,324.0,269.0,492.7,436.5,245.0,359.0,186.0,252.0,407.6,370.0
Bridgeport(Connecticut),363.7,355.2,541.3,654.2,194.0,89.0,414.2,256.3,35.2,266.0,563.7,209.0,277.0,269.2,494.2,261.0,292.7,230.9,264.7,277.0,760.7,336.0,459.7,0.0,464.7,452.3,464.7,351.7,135.7,309.8,450.4,403.0,39.5,196.2,375.0,278.0,378.0,227.7,195.2,496.2
Burlington(Vermont),165.0,337.0,481.0,601.0,394.0,375.7,368.2,477.0,438.7,378.0,592.0,459.0,406.4,384.0,442.5,388.8,321.0,470.8,264.0,311.0,789.0,262.0,69.0,464.7,0.0,394.0,5.1,113.0,329.0,280.0,393.0,338.0,497.7,505.5,314.0,428.0,255.0,256.0,476.6,439.0
Portland(Maine),229.0,97.1,89.0,208.0,258.3,363.3,38.1,283.1,426.3,191.6,742.3,274.6,206.6,183.1,54.0,191.3,471.3,273.3,228.0,200.0,939.3,141.0,325.0,452.3,394.0,0.0,389.0,310.0,330.6,168.5,12.1,56.0,485.3,308.0,132.2,228.0,139.0,406.3,292.2,57.5
Winooski(Vermont),160.0,332.0,476.0,596.0,389.0,375.7,363.2,472.0,438.7,373.0,592.0,454.0,401.4,379.0,437.5,383.8,321.0,465.8,259.0,306.0,789.0,257.0,64.0,464.7,5.1,389.0,0.0,113.0,329.0,275.0,388.0,333.0,497.7,500.5,309.0,423.0,250.0,256.0,471.6,434.0
Rutland(Vermont),81.0,253.0,397.0,517.0,299.0,262.7,284.2,393.0,325.7,294.0,479.0,364.0,322.4,300.0,358.5,304.8,208.0,376.0,180.0,227.0,676.0,178.0,109.0,351.7,113.0,310.0,113.0,0.0,216.0,196.0,309.0,254.0,384.7,410.7,230.0,344.0,171.0,143.0,381.6,355.0
