,Boston(Massachusetts),Rockville(Maryland),Newport(Rhode Island),Chelsea(Massachusetts),Baltimore(Maryland),Erie(Pennsylvania),Worcester(Massachusetts),New Bedford(Massachusetts),Philadelphia(Pennsylvania),Albany(New York),Tonawanda(New York),Binghamton(New York),Dover(Delaware),Buffalo(New York),Keene(New Hampshire),Utica(New York),Atlantic City(New Jersey),Concord(New Hampshire),Portsmouth(New Hampshire),Pittsburgh(Pennsylvania),Burlington(Vermont),Johnstown(Pennsylvania),Hagerstown(Maryland),Mount Vernon(New York),Winooski(Vermont),Bangor(Maine),Cambridge(Massachusetts),Providence(Rhode Island),Trenton(New Jersey),Annapolis(Maryland),Stamford(Connecticut),Paterson(New Jersey),Portland(Maine),Woodbridge(New Jersey),Brockton(Massachusetts),Salisbury(Maryland),Sanford(Maine),Westbrook(Maine),Pittsfield(Massachusetts),Montpelier(Vermont),Hamilton(New Jersey),Bridgeport(Connecticut),Virginia Beach(Virginia),New Rochelle(New York),Syracuse(New York),Lancaster(Pennsylvania),Cumberland(Maryland),Warwick(Rhode Island),Augusta(Maine),Troy(New York),York(Pennsylvania),Springfield(Massachusetts),New Haven(Connecticut),Biddeford(Maine),Auburn(Maine),Silver Spring(Maryland),Gaithersburg(Maryland),Allentown(Pennsylvania),Laconia(New Hampshire),Rutland(Vermont),New York City(New York),Wilmington-D(Delaware),Scranton(Pennsylvania),Washington(DC),Quincy(Massachusetts),Seaford(Delaware),Harrisburg(Pennsylvania),Reading(Pennsylvania),Fall River(Massachusetts),Newark(New Jersey),Nashua(New Hampshire),Hartford(Connecticut),Lewiston(Maine),Jersey City(New Jersey),Rochester(New Hampshire),Manchester(New Hampshire),Yonkers(New York),Middletown(New Jersey),Lebanon(New Hampshire),Columbia(Maryland)
Boston(Massachusetts),0.0,758.1,116.7,8.2,695.1,900.0,67.0,93.0,525.1,280.0,746.0,506.0,658.1,748.0,159.8,435.0,573.3,136.8,94.2,979.8,388.8,871.8,779.8,333.8,383.8,393.2,10.8,89.0,470.09998,747.1,294.0,380.8,191.29999,410.09998,39.2,753.6,142.0,189.4,215.0,319.8,466.3,261.0,1000000000.0,328.7,516.0,632.8,888.8,106.6,280.3,294.8,669.8,142.0,235.0,153.2,233.2,748.1,766.1,524.8,178.8,304.8,363.8,576.1,557.8,760.5,21.0,717.1,657.8,580.8,82.0,392.8,77.8,172.0,235.2,376.3,129.29999,110.600006,341.4,445.3,223.8,729.0
Rockville(Maryland),758.1,0.0,694.1,766.3,63.0,564.0,691.1,754.19995,233.0,657.4,735.7,479.2,247.0,716.0,761.8,639.2,311.0,833.1,852.3,358.0,916.4,294.0,84.0,430.19998,916.4,1151.3,763.1,706.1,288.0,72.0,464.09998,388.0,949.39996,348.0,775.1,209.0,900.1,947.5,722.4,912.4,302.3,503.59998,1000000000.0,429.4,598.2,190.1,187.0,693.1,1038.3999,668.4,148.0,632.8,533.1,911.3,991.3,21.9,11.6,293.0,875.1,803.4,394.3,182.0,384.2,31.7,774.1,187.0,188.2,240.0,728.8,375.0,774.1,586.1,993.3,381.8,872.1,806.89996,427.4,382.0,860.8,52.0
Newport(Rhode Island),116.7,694.1,0.0,124.899994,631.1,959.7,125.7,60.1,461.09998,339.7,805.7,555.7,594.1,807.7,276.5,494.7,509.3,253.5,210.9,915.8,505.5,807.8,715.8,269.8,500.5,509.90002,127.5,61.0,406.09998,683.1,230.0,316.8,308.0,346.09998,85.7,689.6,258.7,306.1,274.7,436.5,402.3,196.2,1000000000.0,264.7,575.7,568.8,824.8,50.0,397.0,354.5,605.8,194.7,161.0,269.9,349.90002,684.1,702.1,460.8,295.5,410.7,299.8,512.1,493.8,696.5,104.7,653.1,593.8,516.8,34.7,328.8,194.5,181.0,351.90002,312.3,245.99998,227.3,277.4,381.3,340.5,665.0
Chelsea(Massachusetts),8.2,766.3,124.899994,0.0,703.3,908.2,75.2,100.0,533.3,288.2,754.2,514.2,666.3,756.2,155.0,443.2,581.5,132.0,86.0,988.0,384.0,880.0,788.0,342.0,379.0,385.0,8.5,91.5,478.3,755.3,302.2,388.99997,183.1,418.3,44.9,761.8,133.8,181.2,223.2,315.0,474.5,269.2,1000000000.0,336.9,524.2,641.0,897.0,109.1,272.1,303.0,678.0,147.5,243.2,145.0,225.0,756.3,774.3,533.0,174.0,300.0,372.0,584.3,566.0,768.7,23.5,725.3,666.0,589.0,90.2,401.0,73.0,180.2,227.0,384.5,121.1,105.8,349.59998,453.5,219.0,737.2
Baltimore(Maryland),695.1,63.0,631.1,703.3,0.0,603.2,628.1,691.19995,170.0,594.4,754.2,416.2,201.0,736.2,698.8,576.2,248.0,770.1,789.3,399.0,853.4,335.0,119.0,367.19998,853.4,1088.3,700.1,643.1,225.0,52.0,401.09998,325.0,886.39996,285.0,712.1,179.0,837.1,884.5,659.4,849.4,239.3,440.59998,1000000000.0,366.4,535.2,127.1,228.0,630.1,975.39996,605.4,85.0,569.8,470.09998,848.3,928.3,53.0,71.0,230.0,812.1,740.4,331.3,119.0,321.2,65.4,711.1,167.0,125.2,177.0,665.8,312.0,711.1,523.1,930.3,318.8,809.1,743.89996,364.4,319.0,797.8,33.9
Erie(Pennsylvania),900.0,564.0,959.7,908.2,603.2,0.0,845.0,946.0,645.0,620.0,171.7,426.0,778.0,152.0,906.0,475.0,745.0,941.0,994.2,206.0,876.0,283.0,486.0,714.0,876.0,1280.0,901.0,910.0,692.0,632.0,751.7,695.0,1073.0,745.0,927.0,760.0,1017.0,1072.0,685.0,872.0,706.3,791.2,1000000000.0,717.0,398.0,539.0,377.0,927.6,1160.0,628.0,518.2,777.0,820.7,1047.2,1121.5,583.0,556.0,598.0,934.0,763.0,731.3,696.0,518.0,595.4,920.0,747.0,478.0,575.0,925.0,720.3,928.0,823.7,1118.0,736.8,993.0,959.0,709.0,778.0,844.0,587.0
Worcester(Massachusetts),67.0,691.1,125.7,75.2,628.1,845.0,0.0,114.0,458.09998,225.0,691.0,451.0,591.1,693.0,165.0,380.0,506.3,142.0,161.2,912.8,394.0,804.8,712.8,266.8,389.0,460.2,72.0,65.0,403.09998,680.1,227.0,313.8,258.3,343.09998,99.0,686.6,209.0,256.4,160.0,325.0,399.3,194.0,1000000000.0,261.7,461.0,565.8,821.8,82.6,347.3,239.8,602.8,83.0,168.0,220.2,300.2,681.1,699.1,457.8,184.0,299.0,296.8,509.09998,490.8,693.5,88.0,650.1,590.8,513.8,91.0,325.8,83.0,105.0,302.2,309.3,181.0,115.8,274.4,378.3,229.0,662.0
New Bedford(Massachusetts),93.0,754.19995,60.1,100.0,691.19995,946.0,114.0,0.0,521.2,326.0,792.0,552.0,654.19995,794.0,248.0,481.0,569.4,225.0,186.0,975.9,477.0,867.9,775.9,329.9,472.0,485.0,99.0,55.199997,466.2,743.19995,290.1,376.89996,283.1,406.19998,60.0,749.69995,233.8,281.2,261.0,408.0,462.4,256.3,1000000000.0,324.8,562.0,628.9,884.9,72.8,372.1,340.8,665.9,182.0,221.09999,245.0,325.0,744.19995,762.19995,520.9,267.0,393.0,359.9,572.2,553.89996,756.6,80.0,713.19995,653.9,576.9,25.4,388.9,166.0,175.2,327.0,372.4,221.1,198.8,337.49997,441.4,312.0,725.1
Philadelphia(Pennsylvania),525.1,233.0,461.09998,533.3,170.0,645.0,458.09998,521.2,0.0,424.4,633.0,295.0,133.0,615.0,528.8,455.0,100.0,600.1,619.3,491.0,683.4,384.0,289.0,197.20001,683.4,918.3,530.1,473.09998,55.0,222.0,231.1,155.0,716.39996,115.0,542.1,228.5,667.1,714.5,489.4,679.4,69.3,270.6,1000000000.0,196.4,414.0,128.0,398.0,460.09998,805.39996,435.4,164.0,399.8,300.09998,678.3,758.3,223.0,241.0,100.0,642.1,570.4,161.3,51.0,200.0,235.4,541.1,192.0,170.0,102.0,495.8,142.0,541.1,353.09998,760.3,148.8,639.1,573.89996,194.4,149.0,627.8,203.9
Albany(New York),280.0,657.4,339.7,288.2,594.4,620.0,225.0,326.0,424.4,0.0,466.0,226.0,557.4,468.0,286.0,155.0,473.7,327.8,374.2,798.0,262.8,696.0,639.0,237.7,262.8,666.8,281.0,290.0,369.4,646.4,277.4,269.4,459.8,310.5,307.0,652.9,403.8,458.8,65.0,258.8,366.7,292.7,1000000000.0,242.7,236.0,523.4,748.0,307.6,546.8,14.8,557.2,157.0,266.7,433.2,508.3,647.4,665.4,415.4,320.8,149.8,264.2,475.4,321.0,659.8,300.0,616.4,517.0,471.4,305.0,293.2,308.0,203.7,504.8,276.7,379.8,340.8,230.0,345.7,230.8,628.3
