,Laconia(New Hampshire),Rutland(Vermont),Scranton(Pennsylvania),Alexandria(Virginia),Murfreesboro(Tennessee),Baltimore(Maryland),Johnson City(Tennessee),Worcester(Massachusetts),Philadelphia(Pennsylvania),Fort Wayne(Indiana),Gary(Indiana),Ann Arbor(Michigan),Hartford(Connecticut),Dover(Delaware),Montgomery(Alabama),Lafayette(Indiana),Lafayette(Louisiana),Memphis(Tennessee),Norfolk(Virginia),New Orleans(Louisiana),Harrisburg(Pennsylvania),Bloomington(Indiana),Hamilton(New Jersey),Charlottesville(Virginia),Montpelier(Vermont),Johnstown(Pennsylvania),Milwaukee(Wisconsin),Manassas(Virginia),Cleveland(Ohio),Providence(Rhode Island),Greensboro(North Carolina),Nashville(Tennessee),Panama City(Florida),Troy(New York),Fayetteville-A(Arkansas),Erie(Pennsylvania),New Haven(Connecticut),Saginaw(Michigan),Reading(Pennsylvania),Bridgeport(Connecticut),Springdale(Arkansas),Syracuse(New York),Sanford(Maine),Cumberland(Maryland),Gaithersburg(Maryland),Buffalo(New York),Columbia-SC(South Carolina),Charleston(West Virginia),Youngstown(Ohio),Clarksburg(West Virginia),Lansing(Michigan),Owensboro(Kentucky),Springfield-I(Illinois),Nashua(New Hampshire),Burlington(Vermont),Raleigh(North Carolina),Bloomington(Illinois),Manchester(New Hampshire),Pittsfield(Massachusetts),Rochester(New Hampshire),Annapolis(Maryland),New Bern (North Carolina),Bowling Green(Kentucky),Michigan City(Michigan),Warwick(Rhode Island),Westbrook(Maine),New Bedford(Massachusetts),Stamford(Connecticut),Chelsea(Massachusetts),Birmingham(Alabama),Southaven(Mississippi),Fayetteville(North Carolina),Savannah(Georgia),Atlantic City(New Jersey),Lynchburg(Virginia),Augusta(Maine),New Rochelle(New York),Knoxville(Tennessee),Monroe(Louisiana),Elizabethtown(Kentucky),St. Louis(Missouri),Mobile(Alabama),Florence(Kentucky),York(Pennsylvania),Rockville(Maryland),South Bend(Indiana),Washington(DC),Valdosta(Georgia),Lewiston(Maine),Miami(Florida),Columbia(Maryland),Summerville(South Carolina),Akron(Ohio),Tonawanda(New York),Carmel(Indiana),Springfield(Massachusetts),Auburn(Maine),Jersey City(New Jersey),Greenville(South Carolina),Lexington(Kentucky),Evansville(Indiana),Richmond(Virginia),Frankfort(Kentucky),Columbus(Ohio),Blacksburg(Virginia),St. Petersburg(Florida),JacksonM(Mississippi),Keene(New Hampshire),Kenosha(Wisconsin),Allentown(Pennsylvania),Grand Rapids(Michigan),Tallahassee(Florida),Portsmouth(New Hampshire),Pittsburgh(Pennsylvania),Quincy(Massachusetts),Lancaster(Pennsylvania),Hagerstown(Maryland),Salisbury(Maryland),Wilmington-D(Delaware),Woodbridge(New Jersey),Jackson(Tennessee),Wheeling(West Virginia),Orlando(Florida),Biddeford(Maine),Conway(Arkansas),Portland(Maine),Bentonville(Arkansas),Dayton(Ohio),Jacksonville(Florida),Silver Spring(Maryland),Binghamton(New York),Jonesboro(Arkansas),Tampa(Florida),Concord(New Hampshire),Newport(Rhode Island),Winooski(Vermont),Kalamazoo(Michigan),Chicago(Illinois),Traverse city (Michigan),Tuscaloosa(Alabama),Springfield-M(Missouri),Hattiesburg(Mississippi),Winston-Salem(North Carolina),Champaign(Illinois),Durham(North Carolina),Dothan(Alabama),Utica(New York),Virginia Beach(Virginia),Baton Rouge(Louisiana),Rockford(Illinois),Cambridge(Massachusetts),Middletown(New Jersey),Biloxi(Mississippi),El Dorado(Arkansas),Jefferson City(Missouri),Toledo(Ohio),Cape Coral(Florida),Wilmington(North Carolina),Charlotte(North Carolina),Hilton Head Island(South Carolina),Blue Springs (Missouri),New York City(New York),Weirton(West Virginia),Chattanooga(Tennessee),Terre Haute(Indiana),Newark(New Jersey),Gainesville(Florida),Bossier City(Louisiana),Paterson(New Jersey),Cincinnati(Ohio),Morgantown(West Virginia),Yonkers(New York),Huntington(West Virginia),Flint(Michigan),Lebanon(New Hampshire),Kingsport(Tennessee),Louisville(Kentucky),Lake Charles(Louisiana),Albany(New York),Lorain(Ohio),Trenton(New Jersey),Indianapolis(Indiana),Brockton(Massachusetts),Huntsville(Alabama),Bangor(Maine),Shreveport(Louisiana),Mount Vernon(New York),Fall River(Massachusetts),Martinsburg(West Virginia),Atlanta(Georgia),Little Rock(Arkansas),Boston(Massachusetts),Peoria(Illinois),Tupelo(Mississippi),Seaford(Delaware),Parkersburg(West Virginia),Macon(Georgia),Sheboygan(Wisconsin),Muncie(Indiana),Detroit(Michigan)
Laconia(New Hampshire),0.0,171.0,inf,inf,inf,inf,inf,184.0,inf,inf,inf,inf,289.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,186.0,inf,inf,inf,inf,249.0,inf,inf,inf,306.0,inf,inf,352.0,inf,inf,378.0,inf,548.0,83.0,inf,inf,782.0,inf,inf,inf,inf,inf,inf,inf,101.0,255.0,inf,inf,71.0,314.0,59.0,inf,inf,inf,inf,266.6,138.0,298.0,411.0,174.0,inf,inf,inf,inf,inf,inf,226.0,445.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,184.0,inf,inf,inf,inf,778.0,inf,258.0,187.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,129.0,inf,inf,inf,inf,92.0,inf,197.5,inf,inf,inf,inf,inf,inf,inf,inf,113.2,inf,139.0,inf,inf,inf,inf,538.0,inf,inf,43.7,310.0,250.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,467.0,inf,inf,inf,168.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,480.8,inf,inf,inf,inf,inf,inf,517.1,inf,inf,458.4,inf,inf,90.0,inf,inf,inf,320.8,inf,617.1,inf,218.9,inf,346.0,inf,450.8,267.5,inf,inf,inf,178.8,inf,inf,inf,inf,inf,inf,inf,inf
Rutland(Vermont),171.0,0.0,inf,inf,inf,inf,inf,299.0,inf,inf,inf,inf,262.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,109.0,inf,inf,inf,inf,364.0,inf,inf,inf,135.0,inf,inf,325.7,inf,inf,351.7,inf,377.0,254.0,inf,inf,611.0,inf,inf,inf,inf,inf,inf,inf,227.0,113.0,inf,inf,196.0,143.0,230.0,inf,inf,inf,inf,381.6,309.0,398.0,384.7,300.0,inf,inf,inf,inf,inf,inf,397.0,377.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,355.0,inf,inf,inf,inf,607.0,inf,216.0,358.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,180.0,inf,inf,inf,inf,262.0,inf,323.5,inf,inf,inf,inf,inf,inf,inf,inf,284.2,inf,310.0,inf,inf,inf,inf,367.0,inf,inf,178.0,425.0,113.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,296.0,inf,inf,inf,294.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,410.0,inf,inf,inf,inf,inf,inf,446.3,inf,inf,376.0,inf,inf,81.0,inf,inf,inf,149.8,inf,546.3,inf,344.9,inf,517.0,inf,380.0,376.0,inf,inf,inf,304.8,inf,inf,inf,inf,inf,inf,inf,inf
Scranton(Pennsylvania),inf,inf,0.0,inf,inf,322.0,inf,inf,200.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,196.0,inf,283.0,inf,inf,375.0,inf,inf,683.0,inf,inf,inf,inf,327.0,inf,518.0,inf,inf,159.0,inf,inf,214.0,inf,482.0,393.0,415.0,inf,inf,803.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,374.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,300.0,inf,inf,386.0,inf,inf,inf,inf,inf,inf,236.2,385.0,inf,416.7,inf,inf,inf,355.9,inf,654.0,433.0,inf,inf,inf,220.1,inf,inf,inf,inf,inf,856.0,inf,inf,inf,inf,inf,122.0,inf,inf,inf,477.0,inf,213.0,318.0,501.0,251.0,227.0,inf,568.0,inf,inf,inf,inf,inf,966.0,inf,375.0,95.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,255.0,inf,inf,inf,inf,260.0,inf,inf,inf,867.0,inf,inf,inf,inf,inf,213.3,535.0,inf,inf,202.3,inf,inf,177.0,1028.0,598.0,216.4,895.0,inf,inf,inf,inf,inf,321.0,728.4,216.0,1137.0,inf,inf,inf,inf,224.1,inf,355.8,inf,inf,inf,inf,inf,392.0,711.0,inf,inf,1226.0,960.0
Alexandria(Virginia),inf,inf,inf,0.0,inf,inf,697.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1483.0,315.0,inf,inf,inf,inf,182.0,inf,inf,inf,56.0,inf,inf,477.0,1152.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,567.0,inf,770.0,inf,inf,inf,inf,inf,437.0,inf,inf,inf,inf,inf,621.0,1256.0,inf,inf,inf,inf,inf,inf,1362.0,1506.0,542.0,inf,inf,289.0,inf,inf,867.0,inf,1372.0,inf,1738.0,1582.0,inf,43.7,inf,12.0,inf,inf,inf,95.7,863.0,inf,inf,inf,inf,inf,inf,894.0,1141.0,inf,166.0,1188.0,inf,423.0,inf,1824.0,inf,inf,inf,inf,2134.0,inf,inf,inf,inf,127.7,252.7,inf,inf,1363.0,830.0,2547.0,inf,inf,inf,inf,inf,2399.0,24.4,inf,1605.0,2577.0,inf,inf,inf,inf,inf,inf,1462.0,1953.0,1890.0,511.0,inf,409.0,1679.0,inf,328.0,2089.0,inf,inf,inf,1849.0,2001.0,2175.0,inf,2768.0,645.0,628.0,1031.0,2209.0,inf,874.0,1042.0,inf,inf,2374.0,2150.0,inf,1602.0,821.0,inf,649.0,inf,inf,658.0,1266.0,2293.0,inf,1982.0,inf,1450.0,inf,1217.0,inf,2158.0,inf,inf,165.5,1128.0,1713.0,inf,inf,1644.0,289.2,583.5,1264.0,inf,1539.0,inf
Murfreesboro(Tennessee),inf,inf,inf,inf,0.0,inf,458.0,inf,inf,inf,inf,inf,inf,inf,442.0,inf,inf,373.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,52.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,156.0,inf,inf,inf,inf,inf,inf,262.0,396.0,inf,inf,inf,inf,inf,inf,291.0,inf,272.0,inf,638.0,482.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,581.0,408.0,inf,inf,405.0,inf,686.0,inf,714.0,inf,inf,inf,inf,1034.0,inf,inf,inf,inf,inf,inf,inf,inf,251.0,inf,1447.0,inf,inf,inf,inf,inf,1299.0,inf,inf,495.0,1477.0,inf,inf,inf,inf,inf,inf,362.0,843.0,790.0,685.0,inf,817.0,579.0,inf,1169.0,979.0,inf,inf,inf,749.0,891.0,1065.0,inf,1668.0,1061.0,683.0,1012.0,1099.0,inf,inf,172.0,inf,inf,1274.0,1040.0,inf,502.0,inf,inf,609.0,inf,inf,451.0,339.0,1183.0,inf,882.0,inf,523.0,inf,135.0,inf,1048.0,inf,inf,1178.0,355.0,603.0,inf,inf,534.0,inf,773.0,491.0,inf,612.0,inf
Baltimore(Maryland),inf,inf,322.0,inf,inf,0.0,inf,inf,170.0,inf,inf,inf,inf,201.0,inf,inf,inf,inf,391.0,inf,125.2,inf,605.0,663.0,inf,335.0,inf,707.0,1005.0,inf,inf,inf,inf,649.0,inf,603.2,inf,inf,177.0,inf,inf,536.0,inf,228.0,71.0,737.0,inf,1048.0,1125.0,1251.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,52.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,248.0,699.0,inf,708.0,inf,inf,inf,inf,inf,inf,85.0,63.0,inf,65.4,inf,inf,inf,33.9,inf,976.0,755.0,inf,inf,inf,445.0,inf,inf,inf,550.0,inf,1178.0,856.0,inf,inf,inf,inf,230.0,inf,inf,inf,399.0,inf,127.1,119.0,179.0,119.0,413.0,inf,490.0,inf,inf,inf,inf,inf,1288.0,inf,53.0,417.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,921.0,inf,793.0,inf,577.0,419.5,inf,inf,inf,389.0,inf,inf,inf,1189.0,inf,1042.0,1023.0,inf,inf,457.5,457.0,inf,inf,362.0,inf,inf,376.0,1350.0,344.0,415.4,676.0,inf,inf,1091.0,inf,inf,643.0,1050.4,225.0,1459.0,inf,inf,inf,inf,423.09999999999997,inf,156.8,inf,inf,inf,inf,inf,167.0,521.0,inf,inf,1548.0,1282.0
Johnson City(Tennessee),inf,inf,inf,697.0,458.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,900.0,inf,inf,786.0,735.0,inf,inf,inf,inf,499.0,inf,inf,inf,631.0,inf,inf,272.1,455.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,363.0,480.0,inf,683.0,inf,inf,inf,inf,inf,396.0,inf,inf,inf,inf,inf,580.0,559.0,inf,inf,inf,inf,inf,inf,665.0,809.0,429.1,inf,inf,415.0,inf,inf,170.0,inf,675.0,inf,1041.0,885.0,inf,740.7,inf,709.0,inf,inf,inf,792.7,506.0,inf,inf,inf,inf,inf,inf,197.0,444.0,inf,587.0,491.0,inf,258.0,inf,1127.0,inf,inf,inf,inf,1437.0,inf,inf,inf,inf,824.7,947.0,inf,inf,666.0,743.0,1850.0,inf,inf,inf,inf,inf,1702.0,721.4,inf,908.0,1880.0,inf,inf,inf,inf,inf,inf,765.0,1256.0,1193.0,227.0,inf,359.0,982.0,inf,741.0,1392.0,inf,inf,inf,1152.0,1304.0,1478.0,inf,2071.0,562.0,241.0,624.0,1512.0,inf,787.0,345.0,inf,inf,1677.0,1453.0,inf,905.0,734.0,inf,562.0,inf,inf,37.7,569.0,1596.0,inf,1285.0,inf,753.0,inf,520.0,inf,1461.0,inf,inf,756.0,431.0,1016.0,inf,inf,947.0,983.5,605.0,567.0,inf,842.0,inf
Worcester(Massachusetts),184.0,299.0,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,105.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,370.0,inf,inf,inf,inf,65.0,inf,inf,inf,434.0,inf,inf,168.0,inf,inf,194.0,inf,676.0,267.0,inf,inf,910.0,inf,inf,inf,inf,inf,inf,inf,83.0,412.0,inf,inf,115.8,160.0,181.0,inf,inf,inf,inf,82.6,322.0,114.0,227.0,75.2,inf,inf,inf,inf,inf,inf,410.0,261.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,368.0,inf,inf,inf,inf,906.0,inf,83.0,371.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,165.0,inf,inf,inf,inf,161.2,inf,88.0,inf,inf,inf,inf,inf,inf,inf,inf,220.2,inf,258.3,inf,inf,inf,inf,552.7,inf,inf,142.0,125.7,412.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,595.0,inf,inf,inf,72.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,296.8,inf,inf,inf,inf,inf,inf,333.1,inf,inf,274.4,inf,inf,229.0,inf,inf,inf,225.0,inf,433.1,inf,99.0,inf,460.2,inf,266.8,91.0,inf,inf,inf,67.0,inf,inf,inf,inf,inf,inf,inf,inf
Philadelphia(Pennsylvania),inf,inf,200.0,inf,inf,170.0,inf,inf,0.0,inf,inf,inf,inf,133.0,inf,inf,inf,inf,561.0,inf,170.0,inf,69.3,833.0,inf,384.0,inf,877.0,705.0,inf,inf,inf,inf,527.0,inf,645.0,inf,inf,102.0,inf,inf,414.0,inf,398.0,241.0,615.0,inf,1218.0,825.0,1421.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,222.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,100.0,869.0,inf,586.0,inf,inf,inf,inf,inf,inf,164.0,233.0,inf,235.4,inf,inf,inf,203.9,inf,668.0,633.0,inf,inf,inf,156.0,inf,inf,inf,720.0,inf,870.0,1026.0,inf,inf,inf,inf,100.0,inf,inf,inf,491.0,inf,128.0,289.0,349.0,51.0,115.0,inf,582.0,inf,inf,inf,inf,inf,980.0,inf,223.0,295.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1091.0,inf,963.0,inf,455.0,589.5,inf,inf,inf,149.0,inf,inf,inf,887.0,inf,1212.0,1193.0,inf,inf,168.5,549.0,inf,inf,142.0,inf,inf,155.0,1042.0,514.0,194.4,846.0,inf,inf,1261.0,inf,inf,424.4,750.4,55.0,1151.0,inf,inf,inf,inf,202.1,inf,326.8,inf,inf,inf,inf,inf,192.0,691.0,inf,inf,1240.0,980.0
Fort Wayne(Indiana),inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,213.0,251.0,inf,inf,inf,187.0,inf,inf,inf,inf,inf,285.0,inf,inf,inf,inf,inf,inf,348.0,inf,inf,inf,inf,inf,inf,513.0,inf,335.0,1088.0,inf,inf,inf,inf,inf,inf,665.0,inf,inf,440.0,inf,214.0,535.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,651.0,202.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1283.0,inf,inf,689.0,740.0,inf,899.0,1066.0,inf,144.0,inf,inf,inf,inf,inf,inf,383.0,684.7,178.0,inf,inf,inf,inf,813.0,471.0,inf,814.0,254.0,inf,inf,inf,inf,inf,1111.0,276.0,inf,inf,560.0,inf,943.0,inf,inf,inf,inf,inf,460.0,inf,inf,inf,inf,inf,367.0,inf,inf,939.0,inf,inf,inf,inf,inf,195.0,262.9,503.0,inf,1089.0,inf,inf,338.0,inf,inf,988.0,inf,inf,407.9,inf,inf,inf,inf,954.0,164.0,inf,inf,inf,inf,1111.0,1245.0,495.0,inf,325.0,1243.0,inf,inf,1257.0,381.0,576.0,1222.0,474.0,267.0,inf,inf,384.0,inf,1133.0,306.0,1205.0,199.0,inf,inf,inf,inf,1227.0,inf,797.0,inf,inf,inf,483.0,inf,inf,435.0,inf,inf,110.0,257.0
