,Biddeford(Maine),Sanford(Maine),Pittsfield(Massachusetts),Portsmouth(New Hampshire),Westbrook(Maine),Rutland(Vermont),Brockton(Massachusetts),Laconia(New Hampshire),Winooski(Vermont),Nashua(New Hampshire),New Bedford(Massachusetts),Boston(Massachusetts),Quincy(Massachusetts),Warwick(Rhode Island),Auburn(Maine),Newport(Rhode Island),Augusta(Maine),Lewiston(Maine),Cambridge(Massachusetts),Bridgeport(Connecticut),Lebanon(New Hampshire),Bangor(Maine),Keene(New Hampshire),Manchester(New Hampshire),Buffalo(New York),Chelsea(Massachusetts),Stamford(Connecticut),Concord(New Hampshire),Worcester(Massachusetts),Burlington(Vermont),New Haven(Connecticut),Hartford(Connecticut),Albany(New York),Portland(Maine),Fall River(Massachusetts),New York City(New York),Providence(Rhode Island),Rochester(New Hampshire),Montpelier(Vermont),Springfield(Massachusetts)
Biddeford(Maine),0.0,30.2,inf,59.0,36.2,inf,inf,113.2,inf,162.0,inf,inf,inf,inf,80.0,inf,127.1,82.0,229.0,inf,203.2,240.0,231.0,133.0,inf,145.0,inf,115.2,228.0,inf,inf,333.0,inf,38.1,239.0,inf,268.8,94.1,299.2,294.0
Sanford(Maine),30.2,0.0,inf,47.8,55.0,inf,inf,83.0,inf,144.0,inf,inf,inf,inf,104.5,inf,143.0,101.0,211.0,inf,173.0,263.0,172.0,112.5,inf,133.8,inf,85.0,216.8,inf,inf,321.8,inf,56.0,227.8,inf,257.6,82.9,269.0,282.8
Pittsfield(Massachusetts),inf,inf,0.0,312.0,inf,143.0,242.0,404.0,256.0,243.0,261.0,215.0,235.0,inf,inf,274.7,inf,inf,216.0,inf,224.0,inf,221.0,275.8,533.0,223.2,inf,302.0,160.0,256.0,435.7,138.7,65.0,inf,240.0,336.0,225.0,341.0,252.0,92.0
Portsmouth(New Hampshire),59.0,47.8,312.0,0.0,95.2,262.0,130.9,92.0,375.0,103.0,186.0,94.2,109.5,inf,139.0,586.7,186.1,141.0,94.5,inf,172.0,299.0,162.0,74.0,845.0,86.0,inf,75.0,161.2,375.0,747.7,266.2,377.0,97.1,176.2,648.0,177.5,35.1,268.0,233.5
Westbrook(Maine),36.2,55.0,inf,95.2,0.0,357.2,226.10000000000002,138.0,470.2,198.2,281.2,189.4,204.7,inf,54.0,681.9000000000001,98.0,55.0,189.7,inf,228.0,214.0,227.0,167.5,940.2,181.2,inf,140.0,256.4,470.2,842.9000000000001,361.4,472.2,12.1,271.4,743.2,272.7,130.3,324.0,328.7
Rutland(Vermont),inf,inf,143.0,262.0,357.2,0.0,382.0,171.0,113.0,227.0,398.0,356.2,371.5,inf,401.0,417.7,448.1,403.0,294.0,inf,81.0,561.0,180.0,196.0,676.0,300.0,inf,178.0,299.0,113.0,578.7,262.7,208.0,359.1,376.0,479.0,364.0,230.0,109.0,216.0
Brockton(Massachusetts),inf,inf,242.0,130.9,226.10000000000002,382.0,0.0,222.9,495.0,117.9,60.0,39.2,25.6,86.6,269.9,85.7,317.0,271.9,50.0,inf,263.9,429.9,199.9,150.7,775.0,44.9,inf,176.9,99.0,495.0,246.6,189.0,307.0,228.0,51.0,578.0,69.0,166.0,359.9,166.0
Laconia(New Hampshire),113.2,83.0,404.0,92.0,138.0,171.0,222.9,0.0,284.0,101.0,278.0,186.2,201.5,309.5,187.5,308.6,226.0,184.0,168.0,inf,90.0,346.0,129.0,71.0,847.0,174.0,inf,43.7,184.0,284.0,469.5,289.0,379.0,139.0,268.0,650.0,249.0,59.0,186.0,258.0
Winooski(Vermont),inf,inf,256.0,375.0,470.2,113.0,495.0,284.0,0.0,340.0,511.0,469.2,484.5,581.6,471.5,530.7,510.0,468.0,407.0,inf,160.0,630.0,259.0,275.0,789.0,413.0,inf,257.0,412.0,5.1,691.7,375.7,321.0,423.0,489.0,592.0,477.0,313.0,64.0,329.0
Nashua(New Hampshire),162.0,144.0,243.0,103.0,198.2,227.0,117.9,101.0,340.0,0.0,166.0,77.8,95.4,204.5,242.0,203.60000000000002,287.0,244.0,67.0,inf,146.0,402.0,82.0,32.8,776.0,73.0,inf,59.0,83.0,340.0,364.5,188.0,308.0,200.0,159.8,579.0,148.0,98.0,242.0,166.0
