,Hartford(Connecticut),Concord(New Hampshire),Buffalo(New York),Quincy(Massachusetts),Nashua(New Hampshire),Bridgeport(Connecticut),Fall River(Massachusetts),Rutland(Vermont),Portsmouth(New Hampshire),Newport(Rhode Island),Worcester(Massachusetts),Providence(Rhode Island),Bangor(Maine),Springfield(Massachusetts),Manchester(New Hampshire),Boston(Massachusetts),Brockton(Massachusetts),New Bedford(Massachusetts),Portland(Maine),Cambridge(Massachusetts),Pittsfield(Massachusetts),Albany(New York),Chelsea(Massachusetts),Warwick(Rhode Island),New Haven(Connecticut),New York City(New York),Westbrook(Maine),Biddeford(Maine),Sanford(Maine),Winooski(Vermont),Burlington(Vermont),Laconia(New Hampshire),Montpelier(Vermont),Lewiston(Maine),Stamford(Connecticut),Rochester(New Hampshire),Auburn(Maine),Augusta(Maine),Lebanon(New Hampshire),Keene(New Hampshire)
Hartford(Connecticut),0.0,0.0,0.7462527056277056,0.6468091537851434,0.5558536279918753,0.8393008389126402,0.6793478260869565,0.6575690585346788,0.0,0.6642484585807567,0.5705835529205094,0.642865164933898,0.7680528516836108,0.6084931082116641,0.7449965493443754,0.6793478260869565,0.7680528516836108,0.9202898550724637,0.7466897233201581,0.6750904249259513,0.6211451644706504,0.0,0.7415544559809647,0.6559345265988815,0.0,0.728975861243303,0.6462417938549719,0.704708751393534,0.9202898550724637,0.0,0.7154403567447045,0.7449965493443754,0.556753924237002,0.7415544559809647,0.6266756335570274,0.8017362246195197,0.6244975887929295,0.6996585841694537,0.6793478260869565,0.4645306924575067
Concord(New Hampshire),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo(New York),0.7462527056277056,0.0,0.0,0.5526921559620785,0.5986894586654744,0.713325652841782,0.7317005084862227,0.6770833333333333,0.0,0.5487156019113594,0.6145545179861558,0.626531897326201,0.6355898858197576,0.7197774943310657,0.8928571428571428,0.7317005084862227,0.6355898858197576,0.7227891156462585,0.6810416350464671,0.714543029030377,0.5230136736473142,0.0,0.6333058932792975,0.7314311594202898,0.0,0.6576201434036825,0.5894249702076626,0.6418486095610119,0.7227891156462585,0.0,0.6516229538690476,0.8928571428571428,0.6421010944700462,0.6333058932792975,0.5354882579701217,0.6308036047491096,0.6449593060710892,0.6663212159863945,0.7317005084862227,0.5127230802545799
Quincy(Massachusetts),0.6468091537851434,0.0,0.5526921559620785,0.0,0.5918708700289707,0.5428674653882457,0.7000870169473581,0.7526110950453055,0.0,0.5676549335356559,0.5880023783754831,0.6138937309380402,0.6787590604727962,0.6842946200743877,0.6190152146775281,0.7000870169473581,0.6787590604727962,0.70283199387677,0.7286088221766576,0.7168973812257394,0.49058713101440327,0.0,0.7077108687394085,0.6407767194776662,0.0,0.6474792099792099,0.6305932136956864,0.7990033908511739,0.70283199387677,0.0,0.8111709551788567,0.6190152146775281,0.6600499146214707,0.7077108687394085,0.9688725490196078,0.6122917320089354,0.5963539100540962,0.8294680443934175,0.7000870169473581,0.532406572145378
Nashua(New Hampshire),0.5558536279918753,0.0,0.5986894586654744,0.5918708700289707,0.0,0.54546875,0.8182165404040405,0.6085021807562813,0.0,0.6135955575464613,0.6872192458039996,0.7080635544174414,0.7107418287396656,0.5661169329706376,0.6705321937053313,0.8182165404040405,0.7107418287396656,0.5931688645327309,0.6110742278573023,0.7990303661160669,0.6169738863287251,0.0,0.6816660266548611,0.6399025331180707,0.0,0.7117249318003629,0.5514231927777908,0.687347361220423,0.5931688645327309,0.0,0.697814579919211,0.6705321937053313,0.567811816925491,0.6816660266548611,0.5734474385354218,0.5706434502692634,0.7288889530767779,0.7135547584136294,0.8182165404040405,0.5242958640214218
Bridgeport(Connecticut),0.8393008389126402,0.0,0.713325652841782,0.5428674653882457,0.54546875,0.0,0.5936327024496667,0.5518982624711509,0.0,0.6752747252747253,0.5320061540935249,0.6665910249391154,0.6446274027473002,0.725,0.665161271620085,0.5936327024496667,0.6446274027473002,0.7724000474051109,0.6266973111900559,0.6078869047619047,0.7332046332046331,0.0,0.6347730952846254,0.781524926686217,0.0,0.7026587912501306,0.5423912797228875,0.6267595162250017,0.7724000474051109,0.0,0.6186271165799819,0.665161271620085,0.5376775916002622,0.6347730952846254,0.5259693849705235,0.6728978859098158,0.6861966433196776,0.6325811116908087,0.5936327024496667,0.5164432565789473
Fall River(Massachusetts),0.6793478260869565,0.0,0.7317005084862227,0.7000870169473581,0.8182165404040405,0.5936327024496667,0.0,0.7436933265316282,0.0,0.7499183006535948,0.8398989898989899,0.8116128869477084,0.8686475934459805,0.6606442591065608,0.8195045695045695,1.0,0.8686475934459805,0.7249534019928519,0.7468368062512523,0.9765512265512266,0.6814928127428128,0.0,0.8331120100777358,0.6669568972664424,0.0,0.7418158667191175,0.6739330795066726,0.8130201841153128,0.7249534019928519,0.0,0.8254012021475258,0.8195045695045695,0.6716290684813884,0.8331120100777358,0.6782950926453203,0.6974235084363806,0.788423947320631,0.8440192743764173,1.0,0.6407788624787776
Rutland(Vermont),0.6575690585346788,0.0,0.6770833333333333,0.7526110950453055,0.6085021807562813,0.5518982624711509,0.7436933265316282,0.0,0.0,0.6637948361162648,0.673836032388664,0.645124448137841,0.8561507936507937,0.6238530709122228,0.6094600794027233,0.7436933265316282,0.8561507936507937,0.7145238588802022,0.6693035850506555,0.7262546302024234,0.5692071206842954,0.0,0.8211264430014431,0.6422252510605976,0.0,0.7143083506550769,0.579265973440005,0.6705865951178452,0.7145238588802022,0.0,0.6605277961910775,0.6094600794027233,0.5151173575823196,0.8211264430014431,0.7291842300769835,0.6873900241751614,0.6266923210481884,0.6473349632534179,0.7436933265316282,0.506077694235589
Portsmouth(New Hampshire),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newport(Rhode Island),0.6642484585807567,0.0,0.5487156019113594,0.5676549335356559,0.6135955575464613,0.6752747252747253,0.7499183006535948,0.6637948361162648,0.0,0.0,0.6298556232257213,0.6086433569683837,0.7753246753246753,0.5649573454143259,0.6145614741407225,0.7499183006535948,0.7753246753246753,0.7217817896389325,0.606117039920307,0.7323336363164795,0.6688762850053174,0.0,0.7436068476977568,0.6078472987687583,0.0,0.6468730674087817,0.6381087919038584,0.6096987148688282,0.7217817896389325,0.0,0.6189834668719069,0.6145614741407225,0.5036669297051196,0.7436068476977568,0.5858922663358148,0.7459752004249975,0.591253546769287,0.6329454999592431,0.7499183006535948,0.4805317956448284
