,Allentown(Pennsylvania),Rochester(New Hampshire),Rockville(Maryland),Trenton(New Jersey),Woodbridge(New Jersey),Bangor(Maine),Westbrook(Maine),Springfield(Massachusetts),Warwick(Rhode Island),Buffalo(New York),New Rochelle(New York),Columbia(Maryland),Auburn(Maine),Atlantic City(New Jersey),New Haven(Connecticut),Rutland(Vermont),New Bedford(Massachusetts),Newport(Rhode Island),Mount Vernon(New York),Cambridge(Massachusetts),Bridgeport(Connecticut),Salisbury(Maryland),Wilmington-D(Delaware),Yonkers(New York),Reading(Pennsylvania),Harrisburg(Pennsylvania),Pittsfield(Massachusetts),Lewiston(Maine),Concord(New Hampshire),Seaford(Delaware),Portland(Maine),Cumberland(Maryland),Pittsburgh(Pennsylvania),Boston(Massachusetts),Keene(New Hampshire),Washington(DC),Quincy(Massachusetts),Philadelphia(Pennsylvania),Chelsea(Massachusetts),Biddeford(Maine),Fall River(Massachusetts),Annapolis(Maryland),Providence(Rhode Island),Scranton(Pennsylvania),Stamford(Connecticut),Hagerstown(Maryland),Johnstown(Pennsylvania),Dover(Delaware),Lebanon(New Hampshire),Utica(New York),Manchester(New Hampshire),Jersey City(New Jersey),Montpelier(Vermont),Binghamton(New York),Sanford(Maine),Gaithersburg(Maryland),Middletown(New Jersey),Albany(New York),Nashua(New Hampshire),York(Pennsylvania),Tonawanda(New York),Burlington(Vermont),Lancaster(Pennsylvania),Brockton(Massachusetts),Paterson(New Jersey),Troy(New York),Winooski(Vermont),Portsmouth(New Hampshire),Worcester(Massachusetts),Laconia(New Hampshire),Hartford(Connecticut),Baltimore(Maryland),Silver Spring(Maryland),New York City(New York),Syracuse(New York),Erie(Pennsylvania),Augusta(Maine),Hamilton(New Jersey),Virginia Beach(Virginia),Newark(New Jersey)
Allentown(Pennsylvania),0.0,0.889066843000741,0.8296480580915545,0.9222068328716527,0.8389042567058521,0.8844801897087214,0.8091323249963198,0.8958580662181769,0.8115651509077264,0.8233989579211185,0.8786510684248496,0.8249976351186408,0.8958580662181769,0.8871567420952807,0.0,0.7938839447669386,0.9121452581861933,0.8069309787626961,0.9222068328716527,0.966282894736842,0.9222068328716527,0.8958580662181769,0.7798841957491953,0.8866128849362556,0.9222068328716527,0.8564381637561979,0.7287985965847942,0.9222068328716527,0.0,0.9436247460507329,0.7770108954168933,0.8830510752688172,0.8466920524449228,0.9436247460507329,0.8279596606311084,0.8996831882766811,0.7914507590253858,0.8341974731534557,0.9222068328716527,0.9191220894607842,0.9436247460507329,0.8342500595766706,0.9222068328716527,0.9141545428612181,0.7668149143204289,0.8793900870597545,0.8958580662181769,0.9222068328716527,0.9436247460507329,0.7608206371191134,0.9222068328716527,0.9222068328716527,0.7592789512808199,0.8227267955064891,0.9121452581861933,0.9360865542763157,0.7641556618291839,0.0,0.8893532144506001,0.914419934640523,0.8149112627291526,0.9331188725490195,0.844395631348107,0.8844801897087214,0.8726003249731826,0.8720868963025411,0.0,0.0,0.8234982343809596,0.9222068328716527,0.8394380274612068,0.8360532998007483,0.8914666051092643,0.9026548916235901,0.8325478352313531,0.8831120166927819,0.9541666666666666,0.8373393175897889,0.8486658623361666,0.9436247460507329
Rochester(New Hampshire),0.889066843000741,0.0,0.7923859535753258,0.8924821721285537,0.8118646127369664,0.8559715378142039,0.7830522928392193,0.8669826814963093,0.7588408532218555,0.7968590822576372,0.8580298052022969,0.7763704712597698,0.8669826814963093,0.8585618193027218,0.0,0.7682953998912636,0.8711779448621553,0.7809219006124846,0.8924821721285537,0.8590900826693015,0.8924821721285537,0.8669826814963093,0.749831874333144,0.858035491800785,0.8924821721285537,0.8288333651820817,0.7053078890110144,0.8924821721285537,0.0,0.863505478228276,0.7519662043164824,0.7852735424092107,0.8194013914828541,0.863505478228276,0.840815030998549,0.7998784919019903,0.7728760198415939,0.8073095386919162,0.8924821721285537,0.8975510025736867,0.863505478228276,0.7634173432518166,0.8924821721285537,0.9725563909774436,0.7488183594200541,0.8510454998511565,0.8669826814963093,0.8924821721285537,0.863505478228276,0.7362977920060568,0.8924821721285537,0.8924821721285537,0.7414592596234999,0.796208585047631,0.8711779448621553,0.8322435175858859,0.7663177339901478,0.0,0.860687494746474,0.8690108355465778,0.7783110340573527,0.9112192919529815,0.817178988855207,0.8559715378142039,0.8444745860395657,0.8439777062520019,0.0,0.0,0.7969551588289248,0.8924821721285537,0.8017362246195197,0.8091055481533862,0.8627327663909353,0.8025205348149614,0.8057130720604999,0.854647463884594,0.9317731105684622,0.9418181818181818,0.8213115813408284,0.863505478228276
Rockville(Maryland),0.8296480580915545,0.7923859535753258,0.0,0.8445180434966792,0.7897130220141074,0.809969578080906,0.7409691879076682,0.8203889565396313,0.7180589290202235,0.7540339674077493,0.728971152658746,0.7346464634169231,0.8203889565396313,0.8124206516408088,0.0,0.7919418992826196,0.9095569490119535,0.7389532880595944,0.8445180434966792,0.8059961678284097,0.8445180434966792,0.8203889565396313,0.7776711914052202,0.8119226102389127,0.8445180434966792,0.9093713278495887,0.7232708173265239,0.8445180434966792,0.0,0.8170986265000338,0.7379814336301532,0.8606051703877791,0.775364798966405,0.8170986265000338,0.7048186076049854,0.7792857538495623,0.6566255853004982,0.763922791293694,0.8445180434966792,0.7625478566701916,0.8170986265000338,0.7514480294332122,0.8445180434966792,0.7749857024785657,0.6567741935483871,0.8053082771914762,0.8203889565396313,0.8445180434966792,0.8170986265000338,0.6967273858847604,0.8445180434966792,0.8445180434966792,0.6299343074799242,0.7534184294751716,0.9095569490119535,0.8108175473579262,0.6997814605703616,0.0,0.81443208819711,0.9072943695367993,0.8125988653575899,0.7741602605788748,0.7732618335766469,0.809969578080906,0.7990905000196196,0.7986203237414249,0.0,0.0,0.8743955075476815,0.8445180434966792,0.837056032786363,0.834008097165992,0.8163674420467899,0.7818597778094288,0.7624121226011688,0.8087166630542538,0.7916225220956915,0.7462834980945795,0.7771723306482045,0.8170986265000338
Trenton(New Jersey),0.9222068328716527,0.8924821721285537,0.8445180434966792,0.0,0.9096703980099503,0.9590909090909091,0.877387041773231,0.9714285714285714,0.8502588364449161,0.8928571428571428,0.8627770725515085,0.8699002574002574,0.9714285714285714,0.9619932432432432,0.0,0.8608523776546629,0.8488614087275194,0.875,1.0,0.9543859649122807,1.0,0.9714285714285714,0.8401645408163265,0.9614035087719298,1.0,0.9286833855799373,0.7902767260088432,1.0,0.0,0.9675324675324675,0.8425559947299078,0.8798758865248227,0.91811513671875,0.9675324675324675,0.8130014722119984,0.8886062378167641,0.7380737962640889,0.9045665716397423,1.0,0.8476206711440057,0.9675324675324675,0.8553866587957496,1.0,0.9176662457912458,0.7304478483320987,0.9535714285714285,0.9714285714285714,1.0,0.9675324675324675,0.825,1.0,1.0,0.7191532258064517,0.892128279883382,0.8488614087275194,0.9245614035087719,0.8286163522012578,0.0,0.964375,0.8509782700959172,0.8627533783783784,0.8605286001461987,0.915625,0.9590909090909091,0.946208913087316,0.9456521739130435,0.0,0.0,0.8929647938268629,1.0,0.8393008389126402,0.906578947368421,0.9666666666666667,0.8915413533834586,0.9027777777777778,0.9576073232323233,0.8799390196983686,0.840555936659256,0.9202554482203439,0.9675324675324675
Woodbridge(New Jersey),0.8389042567058521,0.8118646127369664,0.7897130220141074,0.9096703980099503,0.0,0.8724566090004524,0.8811933375500738,0.915452694235589,0.7734552941603241,0.8346774565089193,0.8635575268817204,0.8040726164369257,0.915452694235589,0.875096776463964,0.0,0.7830919250089293,0.8682392266608135,0.7959615982587065,0.9096703980099503,0.8681766605568648,0.9096703980099503,0.915452694235589,0.7642728122382348,0.8772608493120284,0.9096703980099503,0.8447957849857297,0.7750729070319194,0.9096703980099503,0.0,0.880135644827809,0.7664482470716248,0.8003970478943934,0.8351821618379053,0.880135644827809,0.8137369003308519,0.8083387900289003,0.7217663964022271,0.8524434317443182,0.9096703980099503,0.9033333333333333,0.880135644827809,0.7781199223591311,0.9096703980099503,0.8347738190492194,0.6992996482789224,0.8674357009594883,0.915452694235589,0.9096703980099503,0.880135644827809,0.750478078358209,0.9096703980099503,0.9096703980099503,0.6924271993937675,0.840721862053092,0.8682392266608135,0.8410461399144629,0.7537677669044713,0.0,0.8772633900808459,0.8704044117647058,0.7848212090938887,0.8897833333333333,0.8329169581778608,0.8724566090004524,0.8913482498119296,0.860231789422453,0.0,0.0,0.8123036394093556,0.9096703980099503,0.799031752071908,0.8246880318800733,0.8793480514096187,0.8110087777746606,0.8212302204256496,0.8711070348619907,0.8701557598039215,0.764628853450452,0.9025510204081633,0.880135644827809
Bangor(Maine),0.8844801897087214,0.8559715378142039,0.809969578080906,0.9590909090909091,0.8724566090004524,0.0,0.8414939355188715,0.9316883116883117,0.8154755204085332,0.8563311688311688,0.8274816468562195,0.8343134286884287,0.9316883116883117,0.939484126984127,0.0,0.8561507936507937,0.8345771144278606,0.8392045454545455,0.9590909090909091,0.9153429027113238,0.9590909090909091,0.9316883116883117,0.8057941732374768,0.9220733652312599,0.9590909090909091,0.8906917925334854,0.7579472235812088,0.9590909090909091,0.0,0.9279515938606847,0.8080877949455025,0.8571428571428572,0.8805558811257103,0.9279515938606847,0.779742321076053,0.8522541644515328,0.7078798682351034,0.8675615755272074,0.9590909090909091,0.812945280051751,0.9279515938606847,0.8203935682086507,0.9590909090909091,0.8801253539179675,0.7005658909003311,0.9145616883116883,0.9316883116883117,0.9590909090909091,0.9279515938606847,0.79125,0.9590909090909091,0.9590909090909091,0.6897333211143696,0.8556321229790618,0.8345771144278606,0.8867384370015949,0.7947184105202973,0.0,0.9249232954545454,0.8333333333333333,0.827458921990172,0.8253251574129451,0.8781676136363636,1.0,0.907500366642835,0.9069664031620553,0.0,0.0,0.8564344158975822,0.9590909090909091,0.8049658045934868,0.8694916267942584,0.9271212121212121,0.8550692071086808,0.8658459595959597,0.918432478191001,0.8439415143470718,0.8061695574322865,0.8826086344295117,0.9279515938606847
Westbrook(Maine),0.8091323249963198,0.7830522928392193,0.7409691879076682,0.877387041773231,0.8811933375500738,0.8414939355188715,0.0,0.8523188405797101,0.7460060852499544,0.7833812872975277,0.7609611392793908,0.7632392134781841,0.8523188405797101,0.8440404058950254,0.0,0.755300721033877,0.7650866219331373,0.7677136615515772,0.877387041773231,0.8373658784642766,0.877387041773231,0.8523188405797101,0.7371494810696018,0.8435229805118081,0.877387041773231,0.8148147684179301,0.6933785588151331,0.877387041773231,0.0,0.8489004495078664,0.8654756770743488,0.7719917012056133,0.8055423238128896,0.8489004495078664,0.7170595350901952,0.7796515982992909,0.6475763847144873,0.7936549883779469,0.877387041773231,0.7960113149202334,0.8489004495078664,0.7505051701330909,0.877387041773231,0.8051484727299278,0.6508525959722744,0.8366512148337595,0.8523188405797101,0.877387041773231,0.8489004495078664,0.7238443094629156,0.877387041773231,0.877387041773231,0.6309757213719991,0.7827417923691216,0.7650866219331373,0.811198194762268,0.7270172500227873,0.0,0.8461301284100596,0.7669945686212498,0.7867398648648649,0.7840711451964298,0.8033575101236147,0.8414939355188715,0.8301914391531444,0.8297029634159901,0.0,0.0,0.7834757388633944,0.877387041773231,0.7637528390933164,0.7954206207654686,0.8481408070474566,0.7822268306636155,0.7920855238230557,0.8401922565111904,0.7720470934339885,0.7374928867103919,0.8074202053897462,0.8489004495078664
Springfield(Massachusetts),0.8958580662181769,0.8669826814963093,0.8203889565396313,0.9714285714285714,0.915452694235589,0.9316883116883117,0.8523188405797101,0.0,0.8259657268322043,0.9117647058823529,0.8381262990500368,0.8783333333333334,1.0,0.9345077220077219,0.0,0.8362565954359583,0.8246082256210188,0.85,0.9714285714285714,0.9271177944862155,0.9714285714285714,1.0,0.8161598396501457,0.9339348370927318,0.9714285714285714,0.9021495745633678,0.7676973909800191,0.9714285714285714,0.0,0.9398886827458255,0.8184829663090533,0.8547365754812564,0.8918832756696429,0.9398886827458255,0.789772858720227,0.8632174881648566,0.7169859735136863,0.9311714708056171,0.9714285714285714,0.8484243697478991,0.9398886827458255,0.8309470399730139,0.9714285714285714,0.8914472101972102,0.7095779098083245,0.9263265306122448,1.0,0.9714285714285714,0.9398886827458255,0.8014285714285714,0.9714285714285714,0.9714285714285714,0.6986059907834102,0.9183673469387755,0.8246082256210188,0.8981453634085212,0.8049415992812219,0.0,0.9368214285714286,0.8266646052360338,0.8381032818532819,0.8613445378151261,0.8894642857142857,0.9316883116883117,0.9191743727133928,0.9186335403726708,0.0,0.0,0.8674515140032383,0.9714285714285714,0.8375,0.8806766917293233,0.939047619047619,0.8660687432867884,0.876984126984127,0.9302471139971141,0.8547979048498437,0.8165400527547058,0.8939624354140483,0.9398886827458255
Warwick(Rhode Island),0.8115651509077264,0.7588408532218555,0.7180589290202235,0.8502588364449161,0.7734552941603241,0.8154755204085332,0.7460060852499544,0.8259657268322043,0.0,0.7591596753972465,0.7666574142461807,0.7396403806802759,0.8259657268322043,0.8179432556678711,0.0,0.7319473409754932,0.7402653041096451,0.7439764818893017,0.8502588364449161,0.8398835944713152,0.8502588364449161,0.8259657268322043,0.714357324896767,0.8174418287224807,0.8502588364449161,0.7896212548489229,0.7110395790927508,0.8502588364449161,0.0,0.8226530300668343,0.7163906797187403,0.7481222474925349,0.7806355078689494,0.8226530300668343,0.7224271788089011,0.8332608564503945,0.642313854684472,0.7691157206893742,0.8502588364449161,0.8019699625993455,0.8226530300668343,0.7273000652181785,0.8502588364449161,0.7802538343912391,0.6505623799188784,0.8107825333242592,0.8259657268322043,0.8502588364449161,0.8226530300668343,0.7014635400670557,0.8502588364449161,0.8502588364449161,0.6605294189230794,0.7585399532132487,0.7402653041096451,0.8669766136478093,0.7045383754818723,0.0,0.8199683653965659,0.7421113522495694,0.7443392937996527,0.7899404131603553,0.7785182471198763,0.8154755204085332,0.80452248947543,0.8040491170729097,0.0,0.0,0.7592512065855029,0.8502588364449161,0.7667420210348943,0.7708267609349304,0.8219168752300856,0.8990868585977282,0.8048524844720496,0.8878992628992629,0.7743684148244557,0.7146901126707655,0.8279859763364485,0.8226530300668343
Buffalo(New York),0.8233989579211185,0.7968590822576372,0.7540339674077493,0.8928571428571428,0.8346774565089193,0.8563311688311688,0.7833812872975277,0.9117647058823529,0.7591596753972465,0.0,0.7703366719209898,0.8008333333333334,0.9117647058823529,0.8589225386100385,0.0,0.7686181943345205,0.7579119720781422,0.78125,0.8928571428571428,0.8521303258145363,0.8928571428571428,0.9117647058823529,0.7501469114431486,0.8583959899749373,0.8928571428571428,0.8291815942678011,0.7056042196507528,0.8928571428571428,0.0,0.8638682745825602,0.7522821381517034,0.7856034701114488,0.8197456577845982,0.8638682745825602,0.7258941716178557,0.7933984266221107,0.6589944609500793,0.8490092822051215,0.8928571428571428,0.7735633959466139,0.8638682745825602,0.7637380882104907,0.8928571428571428,0.8193448623136123,0.6521855788679453,0.8514030612244897,0.9117647058823529,0.8928571428571428,0.8638682745825602,0.7366071428571428,0.8928571428571428,0.8928571428571428,0.6421010944700462,0.8373349339735895,0.7579119720781422,0.825501253132832,0.739836028751123,0.0,0.8610491071428571,0.7598020268713546,0.7703155164092663,0.7853435491843797,0.8175223214285714,0.8563311688311688,0.8448293866851035,0.8443322981366459,0.0,0.0,0.7972899944882704,0.8928571428571428,0.7636029411764705,0.8094454887218044,0.863095238095238,0.7960190655209451,0.8060515873015872,0.8550065386002886,0.7856598390164005,0.7504963720171928,0.8216566501967355,0.8638682745825602
