,Bangor(Maine),Rutland(Vermont),Portland(Maine),Montpelier(Vermont),Bridgeport(Connecticut),Laconia(New Hampshire),Manchester(New Hampshire),Worcester(Massachusetts),Brockton(Massachusetts),Biddeford(Maine),Fall River(Massachusetts),New Haven(Connecticut),Winooski(Vermont),Portsmouth(New Hampshire),Warwick(Rhode Island),Providence(Rhode Island),New Bedford(Massachusetts),Concord(New Hampshire),Rochester(New Hampshire),Sanford(Maine),Chelsea(Massachusetts),Boston(Massachusetts),Pittsfield(Massachusetts),Auburn(Maine),Westbrook(Maine),Hartford(Connecticut),Nashua(New Hampshire),Buffalo(New York),Burlington(Vermont),Albany(New York),Cambridge(Massachusetts),Stamford(Connecticut),New York City(New York),Newport(Rhode Island),Lewiston(Maine),Augusta(Maine),Springfield(Massachusetts),Keene(New Hampshire),Quincy(Massachusetts),Lebanon(New Hampshire)
Bangor(Maine),0.0,inf,208.0,inf,inf,inf,inf,inf,inf,240.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,263.0,inf,inf,inf,185.0,214.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,167.0,123.0,inf,inf,inf,inf
Rutland(Vermont),inf,0.0,inf,109.0,inf,inf,inf,inf,inf,inf,inf,inf,113.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,143.0,inf,inf,inf,inf,inf,113.0,inf,inf,inf,inf,inf,inf,inf,216.0,inf,inf,81.0
Portland(Maine),208.0,inf,0.0,inf,inf,inf,inf,inf,inf,38.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,56.0,inf,inf,inf,54.0,12.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,58.0,89.0,inf,inf,inf,inf
Montpelier(Vermont),inf,109.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,64.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,69.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,96.0
Bridgeport(Connecticut),inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,35.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,89.0,inf,inf,inf,inf,inf,39.5,inf,inf,inf,inf,inf,inf,inf,inf
Laconia(New Hampshire),inf,inf,inf,inf,inf,0.0,71.0,inf,inf,inf,inf,inf,inf,92.0,inf,inf,inf,43.7,59.0,83.0,inf,inf,inf,inf,inf,inf,101.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,129.0,inf,90.0
Manchester(New Hampshire),inf,inf,inf,inf,inf,71.0,0.0,inf,inf,inf,inf,inf,inf,74.0,inf,inf,inf,27.5,69.0,inf,inf,inf,inf,inf,inf,inf,32.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,90.0,inf,115.0
Worcester(Massachusetts),inf,inf,inf,inf,inf,inf,inf,0.0,99.0,inf,91.0,inf,inf,inf,inf,65.0,114.0,inf,inf,inf,83.0,67.0,160.0,inf,inf,105.0,83.0,inf,inf,inf,72.0,inf,inf,inf,inf,inf,83.0,inf,92.0,inf
Brockton(Massachusetts),inf,inf,inf,inf,inf,inf,inf,99.0,0.0,inf,51.0,inf,inf,inf,inf,69.0,60.0,inf,inf,inf,44.9,39.2,242.0,inf,inf,inf,inf,inf,inf,inf,59.0,inf,inf,inf,inf,inf,166.0,inf,25.6,inf
Biddeford(Maine),240.0,inf,38.1,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,59.0,inf,inf,inf,inf,inf,30.2,inf,inf,inf,80.0,36.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,82.0,132.0,inf,inf,inf,inf
Fall River(Massachusetts),inf,inf,inf,inf,inf,inf,inf,91.0,51.0,inf,0.0,inf,inf,inf,inf,29.8,25.4,inf,inf,inf,94.0,82.0,240.0,inf,inf,inf,inf,inf,inf,inf,103.0,inf,inf,34.7,inf,inf,160.0,inf,70.0,inf
