,Laconia(New Hampshire),Rutland(Vermont),Scranton(Pennsylvania),Alexandria(Virginia),Murfreesboro(Tennessee),Baltimore(Maryland),Johnson City(Tennessee),Worcester(Massachusetts),Philadelphia(Pennsylvania),Fort Wayne(Indiana),Gary(Indiana),Ann Arbor(Michigan),Hartford(Connecticut),Dover(Delaware),Montgomery(Alabama),Lafayette(Indiana),Lafayette(Louisiana),Memphis(Tennessee),Norfolk(Virginia),New Orleans(Louisiana),Harrisburg(Pennsylvania),Bloomington(Indiana),Hamilton(New Jersey),Charlottesville(Virginia),Montpelier(Vermont),Johnstown(Pennsylvania),Milwaukee(Wisconsin),Manassas(Virginia),Cleveland(Ohio),Providence(Rhode Island),Greensboro(North Carolina),Nashville(Tennessee),Panama City(Florida),Troy(New York),Fayetteville-A(Arkansas),Erie(Pennsylvania),New Haven(Connecticut),Saginaw(Michigan),Reading(Pennsylvania),Bridgeport(Connecticut),Springdale(Arkansas),Syracuse(New York),Sanford(Maine),Cumberland(Maryland),Gaithersburg(Maryland),Buffalo(New York),Columbia-SC(South Carolina),Charleston(West Virginia),Youngstown(Ohio),Clarksburg(West Virginia),Lansing(Michigan),Owensboro(Kentucky),Springfield-I(Illinois),Nashua(New Hampshire),Burlington(Vermont),Raleigh(North Carolina),Bloomington(Illinois),Manchester(New Hampshire),Pittsfield(Massachusetts),Rochester(New Hampshire),Annapolis(Maryland),New Bern (North Carolina),Bowling Green(Kentucky),Michigan City(Michigan),Warwick(Rhode Island),Westbrook(Maine),New Bedford(Massachusetts),Stamford(Connecticut),Chelsea(Massachusetts),Birmingham(Alabama),Southaven(Mississippi),Fayetteville(North Carolina),Savannah(Georgia),Atlantic City(New Jersey),Lynchburg(Virginia),Augusta(Maine),New Rochelle(New York),Knoxville(Tennessee),Monroe(Louisiana),Elizabethtown(Kentucky),St. Louis(Missouri),Mobile(Alabama),Florence(Kentucky),York(Pennsylvania),Rockville(Maryland),South Bend(Indiana),Washington(DC),Valdosta(Georgia),Lewiston(Maine),Miami(Florida),Columbia(Maryland),Summerville(South Carolina),Akron(Ohio),Tonawanda(New York),Carmel(Indiana),Springfield(Massachusetts),Auburn(Maine),Jersey City(New Jersey),Greenville(South Carolina),Lexington(Kentucky),Evansville(Indiana),Richmond(Virginia),Frankfort(Kentucky),Columbus(Ohio),Blacksburg(Virginia),St. Petersburg(Florida),JacksonM(Mississippi),Keene(New Hampshire),Kenosha(Wisconsin),Allentown(Pennsylvania),Grand Rapids(Michigan),Tallahassee(Florida),Portsmouth(New Hampshire),Pittsburgh(Pennsylvania),Quincy(Massachusetts),Lancaster(Pennsylvania),Hagerstown(Maryland),Salisbury(Maryland),Wilmington-D(Delaware),Woodbridge(New Jersey),Jackson(Tennessee),Wheeling(West Virginia),Orlando(Florida),Biddeford(Maine),Conway(Arkansas),Portland(Maine),Bentonville(Arkansas),Dayton(Ohio),Jacksonville(Florida),Silver Spring(Maryland),Binghamton(New York),Jonesboro(Arkansas),Tampa(Florida),Concord(New Hampshire),Newport(Rhode Island),Winooski(Vermont),Kalamazoo(Michigan),Chicago(Illinois),Traverse city (Michigan),Tuscaloosa(Alabama),Springfield-M(Missouri),Hattiesburg(Mississippi),Winston-Salem(North Carolina),Champaign(Illinois),Durham(North Carolina),Dothan(Alabama),Utica(New York),Virginia Beach(Virginia),Baton Rouge(Louisiana),Rockford(Illinois),Cambridge(Massachusetts),Middletown(New Jersey),Biloxi(Mississippi),El Dorado(Arkansas),Jefferson City(Missouri),Toledo(Ohio),Cape Coral(Florida),Wilmington(North Carolina),Charlotte(North Carolina),Hilton Head Island(South Carolina),Blue Springs (Missouri),New York City(New York),Weirton(West Virginia),Chattanooga(Tennessee),Terre Haute(Indiana),Newark(New Jersey),Gainesville(Florida),Bossier City(Louisiana),Paterson(New Jersey),Cincinnati(Ohio),Morgantown(West Virginia),Yonkers(New York),Huntington(West Virginia),Flint(Michigan),Lebanon(New Hampshire),Kingsport(Tennessee),Louisville(Kentucky),Lake Charles(Louisiana),Albany(New York),Lorain(Ohio),Trenton(New Jersey),Indianapolis(Indiana),Brockton(Massachusetts),Huntsville(Alabama),Bangor(Maine),Shreveport(Louisiana),Mount Vernon(New York),Fall River(Massachusetts),Martinsburg(West Virginia),Atlanta(Georgia),Little Rock(Arkansas),Boston(Massachusetts),Peoria(Illinois),Tupelo(Mississippi),Seaford(Delaware),Parkersburg(West Virginia),Macon(Georgia),Sheboygan(Wisconsin),Muncie(Indiana),Detroit(Michigan)
Laconia(New Hampshire),0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,83.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,101.0,inf,inf,inf,71.0,inf,59.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,129.0,inf,inf,inf,inf,92.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,43.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,90.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Rutland(Vermont),inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,109.0,inf,inf,inf,inf,inf,inf,inf,inf,135.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,113.0,inf,inf,inf,143.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,216.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,113.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,81.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Scranton(Pennsylvania),inf,inf,0.0,inf,inf,inf,inf,inf,200.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,196.0,inf,inf,inf,inf,375.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,518.0,inf,inf,159.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,237.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,122.0,inf,inf,inf,477.0,inf,213.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,95.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,177.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Alexandria(Virginia),inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,315.0,inf,inf,inf,inf,182.0,inf,inf,inf,56.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,289.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,166.0,inf,inf,439.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,328.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Murfreesboro(Tennessee),inf,inf,inf,inf,0.0,inf,458.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,373.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,52.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,291.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,251.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,172.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,451.0,inf,inf,inf,inf,inf,inf,inf,135.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Baltimore(Maryland),inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,230.0,71.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,52.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,85.0,63.0,inf,inf,inf,inf,inf,33.9,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,119.0,179.0,119.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,53.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Johnson City(Tennessee),inf,inf,inf,inf,458.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,786.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,455.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,170.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,197.0,inf,inf,inf,inf,inf,258.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,666.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,227.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,241.0,inf,inf,inf,inf,413.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,37.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Worcester(Massachusetts),inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,105.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,65.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,83.0,inf,inf,inf,inf,160.0,inf,inf,inf,inf,inf,inf,inf,114.0,inf,83.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,83.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,92.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,72.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,99.0,inf,inf,inf,inf,91.0,inf,inf,inf,67.0,inf,inf,inf,inf,inf,inf,inf,inf
Philadelphia(Pennsylvania),inf,inf,200.0,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,170.0,inf,inf,inf,inf,384.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,645.0,inf,inf,102.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,100.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,164.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,100.0,inf,inf,inf,491.0,inf,128.0,inf,inf,51.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,55.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Fort Wayne(Indiana),inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,213.0,inf,inf,inf,inf,187.0,inf,inf,inf,inf,inf,285.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,214.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,144.0,inf,inf,inf,inf,inf,inf,inf,inf,178.0,inf,inf,inf,inf,inf,471.0,inf,inf,254.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,195.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,164.0,inf,inf,inf,inf,inf,inf,inf,inf,389.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,200.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,110.0,inf
