,Biddeford(Maine),Sanford(Maine),Pittsfield(Massachusetts),Portsmouth(New Hampshire),Westbrook(Maine),Rutland(Vermont),Brockton(Massachusetts),Laconia(New Hampshire),Winooski(Vermont),Nashua(New Hampshire),New Bedford(Massachusetts),Boston(Massachusetts),Quincy(Massachusetts),Warwick(Rhode Island),Auburn(Maine),Newport(Rhode Island),Augusta(Maine),Lewiston(Maine),Cambridge(Massachusetts),Bridgeport(Connecticut),Lebanon(New Hampshire),Bangor(Maine),Keene(New Hampshire),Manchester(New Hampshire),Buffalo(New York),Chelsea(Massachusetts),Stamford(Connecticut),Concord(New Hampshire),Worcester(Massachusetts),Burlington(Vermont),New Haven(Connecticut),Hartford(Connecticut),Albany(New York),Portland(Maine),Fall River(Massachusetts),New York City(New York),Providence(Rhode Island),Rochester(New Hampshire),Montpelier(Vermont),Springfield(Massachusetts)
Biddeford(Maine),0.0,30.2,inf,59.0,36.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,80.0,inf,132.0,82.0,inf,inf,inf,240.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,38.1,inf,inf,inf,inf,inf,inf
Sanford(Maine),30.2,0.0,inf,47.8,55.0,inf,inf,83.0,inf,inf,inf,inf,inf,inf,106.0,inf,143.0,101.0,inf,inf,inf,263.0,inf,inf,inf,inf,inf,85.0,inf,inf,inf,inf,inf,56.0,inf,inf,inf,inf,inf,inf
Pittsfield(Massachusetts),inf,inf,0.0,inf,inf,143.0,242.0,inf,inf,inf,261.0,215.0,235.0,inf,inf,inf,inf,inf,216.0,inf,inf,inf,inf,inf,inf,226.0,inf,inf,160.0,inf,inf,inf,65.0,inf,240.0,inf,inf,inf,inf,92.0
Portsmouth(New Hampshire),59.0,47.8,inf,0.0,inf,inf,inf,92.0,inf,103.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,181.0,inf,172.0,74.0,inf,86.0,inf,75.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,35.1,inf,inf
Westbrook(Maine),36.2,55.0,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,54.0,inf,98.0,55.0,inf,inf,inf,214.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12.1,inf,inf,inf,inf,inf,inf
Rutland(Vermont),inf,inf,143.0,inf,inf,0.0,inf,inf,113.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,81.0,inf,inf,inf,inf,inf,inf,inf,inf,113.0,inf,inf,inf,inf,inf,inf,inf,inf,109.0,216.0
Brockton(Massachusetts),inf,inf,242.0,inf,inf,inf,0.0,inf,inf,inf,60.0,39.2,25.6,inf,inf,inf,inf,inf,59.0,inf,inf,inf,inf,inf,inf,44.9,inf,inf,99.0,inf,inf,inf,inf,inf,51.0,inf,69.0,inf,inf,166.0
Laconia(New Hampshire),inf,83.0,inf,92.0,inf,inf,inf,0.0,inf,101.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,90.0,inf,129.0,71.0,inf,inf,inf,43.7,inf,inf,inf,inf,inf,inf,inf,inf,inf,59.0,inf,inf
Winooski(Vermont),inf,inf,inf,inf,inf,113.0,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.1,inf,inf,inf,inf,inf,inf,inf,inf,64.0,inf
Nashua(New Hampshire),inf,inf,inf,103.0,inf,inf,inf,101.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,67.0,inf,146.0,inf,82.0,32.8,inf,73.0,inf,59.0,83.0,inf,inf,inf,inf,inf,inf,inf,inf,98.0,inf,inf
New Bedford(Massachusetts),inf,inf,261.0,inf,inf,inf,60.0,inf,inf,inf,0.0,93.0,80.0,inf,inf,inf,inf,inf,99.0,inf,inf,inf,inf,inf,inf,100.0,inf,inf,114.0,inf,inf,inf,inf,inf,25.4,inf,inf,inf,inf,182.0
Boston(Massachusetts),inf,inf,215.0,inf,inf,inf,39.2,inf,inf,inf,93.0,0.0,21.0,inf,inf,inf,inf,inf,10.8,inf,inf,inf,inf,inf,inf,8.2,inf,inf,67.0,inf,inf,inf,inf,inf,82.0,inf,inf,inf,inf,142.0
Quincy(Massachusetts),inf,inf,235.0,inf,inf,inf,25.6,inf,inf,inf,80.0,21.0,0.0,inf,inf,inf,inf,inf,28.4,inf,inf,inf,inf,inf,inf,23.5,inf,inf,92.0,inf,inf,inf,inf,inf,70.0,inf,68.0,inf,inf,158.0
Warwick(Rhode Island),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,50.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,160.0,inf,inf,inf,inf,inf,17.6,inf,inf,inf
Auburn(Maine),80.0,106.0,inf,inf,54.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,65.0,3.5,inf,inf,inf,185.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,54.0,inf,inf,inf,inf,inf,inf
Newport(Rhode Island),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,50.0,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,161.0,inf,inf,inf,34.7,inf,61.0,inf,inf,inf
Augusta(Maine),132.0,143.0,inf,inf,98.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,65.0,inf,0.0,54.0,inf,inf,inf,123.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,89.0,inf,inf,inf,inf,inf,inf
Lewiston(Maine),82.0,101.0,inf,inf,55.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,3.5,inf,54.0,0.0,inf,inf,inf,167.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,58.0,inf,inf,inf,inf,inf,inf
Cambridge(Massachusetts),inf,inf,216.0,inf,inf,inf,59.0,inf,inf,67.0,99.0,10.8,28.4,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,8.5,inf,inf,72.0,inf,inf,inf,inf,inf,103.0,inf,inf,inf,inf,139.0
Bridgeport(Connecticut),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,39.5,inf,inf,inf,35.2,89.0,inf,inf,inf,inf,inf,inf,inf,inf
Lebanon(New Hampshire),inf,inf,inf,181.0,inf,81.0,inf,90.0,inf,146.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,99.0,115.0,inf,inf,inf,97.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,153.0,96.0,inf
Bangor(Maine),240.0,263.0,inf,inf,214.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,185.0,inf,123.0,167.0,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,208.0,inf,inf,inf,inf,inf,inf
Keene(New Hampshire),inf,inf,inf,172.0,inf,inf,inf,129.0,inf,82.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,99.0,inf,0.0,90.0,inf,inf,inf,87.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,144.0,inf,129.0
Manchester(New Hampshire),inf,inf,inf,74.0,inf,inf,inf,71.0,inf,32.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,115.0,inf,90.0,0.0,inf,inf,inf,27.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,69.0,inf,inf
Buffalo(New York),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,468.0,inf,inf,744.0,inf,inf,inf,inf
Chelsea(Massachusetts),inf,inf,226.0,86.0,inf,inf,44.9,inf,inf,73.0,100.0,8.2,23.5,inf,inf,inf,inf,inf,8.5,inf,inf,inf,inf,inf,inf,0.0,inf,inf,83.0,inf,inf,inf,inf,inf,94.0,inf,inf,inf,inf,149.0
Stamford(Connecticut),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,39.5,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,69.0,122.0,inf,inf,inf,inf,inf,inf,inf,inf
Concord(New Hampshire),inf,85.0,inf,75.0,inf,inf,inf,43.7,inf,59.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,97.0,inf,87.0,27.5,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,57.0,inf,inf
Worcester(Massachusetts),inf,inf,160.0,inf,inf,inf,99.0,inf,inf,83.0,114.0,67.0,92.0,inf,inf,inf,inf,inf,72.0,inf,inf,inf,inf,inf,inf,83.0,inf,inf,0.0,inf,inf,105.0,inf,inf,91.0,inf,65.0,inf,inf,83.0
Burlington(Vermont),inf,inf,inf,inf,inf,113.0,inf,inf,5.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,69.0,inf
New Haven(Connecticut),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,160.0,inf,161.0,inf,inf,inf,35.2,inf,inf,inf,inf,inf,inf,69.0,inf,inf,inf,0.0,63.0,inf,inf,inf,inf,inf,inf,inf,inf
Hartford(Connecticut),inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,89.0,inf,inf,inf,inf,inf,inf,122.0,inf,105.0,inf,63.0,0.0,inf,inf,inf,inf,120.0,inf,inf,46.7
