,Hartford(Connecticut),Concord(New Hampshire),Buffalo(New York),Quincy(Massachusetts),Nashua(New Hampshire),Bridgeport(Connecticut),Fall River(Massachusetts),Rutland(Vermont),Portsmouth(New Hampshire),Newport(Rhode Island),Worcester(Massachusetts),Providence(Rhode Island),Bangor(Maine),Springfield(Massachusetts),Manchester(New Hampshire),Boston(Massachusetts),Brockton(Massachusetts),New Bedford(Massachusetts),Portland(Maine),Cambridge(Massachusetts),Pittsfield(Massachusetts),Albany(New York),Chelsea(Massachusetts),Warwick(Rhode Island),New Haven(Connecticut),New York City(New York),Westbrook(Maine),Biddeford(Maine),Sanford(Maine),Winooski(Vermont),Burlington(Vermont),Laconia(New Hampshire),Montpelier(Vermont),Lewiston(Maine),Stamford(Connecticut),Rochester(New Hampshire),Auburn(Maine),Augusta(Maine),Lebanon(New Hampshire),Keene(New Hampshire)
Hartford(Connecticut),0.0,0.0,0.7462527056277056,0.0,0.4319428318511199,0.8393008389126402,0.57286866359447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3536544850498339,0.0,0.0,0.5601432972861544,0.5654427622498275,0.6750904249259513,0.0,0.0,0.5214285714285714,0.6329579619039609,0.0,0.728975861243303,0.47049229010546145,0.6061767227521165,0.9202898550724637,0.0,0.7154403567447045,0.6860795454545454,0.0,0.0,0.0,0.707505155229694,0.0,0.0,0.6793478260869565,0.0
Concord(New Hampshire),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo(New York),0.7462527056277056,0.0,0.0,0.0,0.0,0.713325652841782,0.0,0.6770833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46875,0.0,0.5754271235521236,0.0,0.4567099567099567,0.0,0.0,0.0,0.7314311594202898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quincy(Massachusetts),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7526110950453055,0.0,0.0,0.0,0.4124591550378657,0.0,0.0,0.0,0.0,0.0,0.0,0.34568532242950845,0.0,0.0,0.0,0.0,0.34840503699199354,0.0,0.6474792099792099,0.0,0.0,0.70283199387677,0.0,0.0,0.0,0.0,0.0,0.9688725490196078,0.0,0.0,0.8294680443934175,0.0,0.0
Nashua(New Hampshire),0.4319428318511199,0.0,0.0,0.0,0.0,0.54546875,0.8182165404040405,0.5041666666666667,0.0,0.0,0.0,0.6809130727762803,0.0,0.0,0.5853807161345987,0.5328885957792208,0.0,0.0,0.0,0.46699134199134196,0.6169738863287251,0.0,0.0,0.33508337450592884,0.0,0.7117249318003629,0.5381643111790171,0.0,0.5534260515603799,0.0,0.6361394467887631,0.6277657527657527,0.0,0.0,0.0,0.0,0.7288889530767779,0.7135547584136294,0.5907738095238095,0.0
Bridgeport(Connecticut),0.8393008389126402,0.0,0.713325652841782,0.0,0.54546875,0.0,0.380744284517326,0.0,0.0,0.6752747252747253,0.0,0.559017595307918,0.0,0.725,0.0,0.4698529411764706,0.0,0.473568002376128,0.0,0.6078869047619047,0.7332046332046331,0.0,0.0,0.781524926686217,0.0,0.6524894721128841,0.0,0.5553571428571429,0.0,0.0,0.42619245833531544,0.665161271620085,0.5376775916002622,0.6347730952846254,0.0,0.41652261151412256,0.6861966433196776,0.6325811116908087,0.0,0.49858534322820036
Fall River(Massachusetts),0.57286866359447,0.0,0.0,0.0,0.8182165404040405,0.380744284517326,0.0,0.0,0.0,0.0,0.8398989898989899,0.7087581209395302,0.8686475934459805,0.0,0.8195045695045695,1.0,0.0,0.6836734693877551,0.7468368062512523,0.9765512265512266,0.6814928127428128,0.0,0.0,0.46710408535227727,0.0,0.7325933075933075,0.0,0.0,0.615524193548387,0.0,0.7019127527192044,0.7642045454545454,0.0,0.6419604205318491,0.5405913978494623,0.0,0.6871933621933621,0.6954805107526882,1.0,0.6407788624787776
Rutland(Vermont),0.0,0.0,0.6770833333333333,0.7526110950453055,0.5041666666666667,0.0,0.0,0.0,0.0,0.0,0.673836032388664,0.0,0.8561507936507937,0.0,0.2787280701754386,0.4380482456140351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6233913278750236,0.0,0.0,0.0,0.0,0.618577694235589,0.0,0.5505952380952381,0.0,0.0,0.7301848370927317,0.0,0.0,0.0,0.0,0.0,0.506077694235589
Portsmouth(New Hampshire),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newport(Rhode Island),0.0,0.0,0.0,0.0,0.0,0.6752747252747253,0.0,0.0,0.0,0.0,0.5538407670760612,0.0,0.7753246753246753,0.0,0.5095238095238095,0.7499183006535948,0.0,0.7217817896389325,0.5600406053894427,0.5846268315018315,0.6688762850053174,0.0,0.0,0.6078472987687583,0.0,0.0,0.6381087919038584,0.0,0.0,0.0,0.5066849816849817,0.5479301948051948,0.0,0.695093037214886,0.5858922663358148,0.7459752004249975,0.0,0.4619047619047619,0.529229797979798,0.0
Worcester(Massachusetts),0.0,0.0,0.0,0.0,0.0,0.0,0.8398989898989899,0.673836032388664,0.0,0.5538407670760612,0.0,0.0,0.0,0.0,0.0,0.7659111721611722,0.0,0.0,0.5294583134257047,0.0,0.0,0.0,0.0,0.6807283247500638,0.0,0.0,0.7222973637615582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6016483516483516,0.6892051913603637,0.0,0.0,0.5897435897435898,0.6130590900327741
Providence(Rhode Island),0.0,0.0,0.0,0.4124591550378657,0.6809130727762803,0.559017595307918,0.7087581209395302,0.0,0.0,0.0,0.0,0.0,0.753517316017316,0.0,0.6394736842105264,0.6026785714285714,0.0,0.6985463996919522,0.8425559947299078,0.8311011904761905,0.41630079825834543,0.0,0.6991127583108715,0.0,0.0,0.7309568352086597,0.0,0.0,0.654589250512934,0.0,0.5452739616844912,0.0,0.0,0.0,0.4203032354790347,0.7086466165413534,0.9714285714285714,0.7229329252430657,0.0,0.0
Bangor(Maine),0.0,0.0,0.0,0.0,0.0,0.0,0.8686475934459805,0.8561507936507937,0.0,0.7753246753246753,0.0,0.753517316017316,0.0,0.5766178266178266,0.0,0.474818563789152,1.0,0.7185966810966811,0.0,0.5877454051796157,0.6236797924297924,0.0,0.0,0.7313969813969814,0.0,0.8343253968253969,0.3906885334779072,0.0,0.8345771144278606,0.0,0.7625813766366761,0.0,0.0,0.9590909090909091,0.0,0.60437552213868,0.7115079365079365,0.0,0.0,0.0
Springfield(Massachusetts),0.0,0.0,0.0,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.5766178266178266,0.0,0.0,0.0,0.0,0.0,0.702274558451884,0.0,0.3402777777777778,0.0,0.7597527472527472,0.711087996142344,0.0,0.5585826898326898,0.7447204968944099,0.0,0.0,0.0,0.5866071428571428,0.8061507936507937,0.0,0.0,0.70627929418252,0.5075834618597777,0.7766847481786506,0.0,0.5260683760683761,0.7123355263157894
Manchester(New Hampshire),0.3536544850498339,0.0,0.0,0.0,0.5853807161345987,0.0,0.8195045695045695,0.2787280701754386,0.0,0.5095238095238095,0.0,0.6394736842105264,0.0,0.0,0.0,0.6092492260061919,0.0,0.5174319727891157,0.7627666312520431,0.6872527062336693,0.4555691547030997,0.0,0.7093026004728132,0.611358814097945,0.0,0.47188995215311,0.0,0.0,0.6339285714285714,0.0,0.6607142857142857,1.0,0.7191532258064517,0.5341850693765878,0.37144607843137256,0.0,0.7223544227996199,0.0,0.29690790887599394,0.0
Boston(Massachusetts),0.0,0.0,0.46875,0.0,0.5328885957792208,0.4698529411764706,1.0,0.4380482456140351,0.0,0.7499183006535948,0.7659111721611722,0.6026785714285714,0.474818563789152,0.0,0.6092492260061919,0.0,0.5323835647111509,0.6613133889919605,0.0,0.64390756302521,0.654914004914005,0.0,0.6154761904761905,0.294047619047619,0.0,0.7418158667191175,0.38667582417582413,0.5452532816645719,0.0,0.0,0.5333961249296353,0.0,0.0,0.6584646552419418,0.47552785923753665,0.5198583743842364,0.0,0.0,0.0,0.0
Brockton(Massachusetts),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5323835647111509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4107091025194473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5965745820271682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Bedford(Massachusetts),0.5601432972861544,0.0,0.5754271235521236,0.0,0.0,0.473568002376128,0.6836734693877551,0.0,0.0,0.7217817896389325,0.0,0.6985463996919522,0.7185966810966811,0.0,0.5174319727891157,0.6613133889919605,0.0,0.0,0.6529708427655159,0.0,0.674945139346061,0.0,0.0,0.5906503768485568,0.0,0.4381748759827577,0.0,0.0,1.0,0.0,0.5852791707645577,0.8095238095238095,0.0,0.0,0.6187521222410866,0.8711779448621553,0.0,0.6870748299319728,0.0,0.504765634323905
Portland(Maine),0.5654427622498275,0.0,0.0,0.34568532242950845,0.0,0.0,0.7468368062512523,0.0,0.0,0.5600406053894427,0.5294583134257047,0.8425559947299078,0.0,0.702274558451884,0.7627666312520431,0.0,0.0,0.6529708427655159,0.0,0.5,0.0,0.0,0.6866688116688117,0.0,0.0,0.0,0.8654756770743488,0.0,0.8113636363636364,0.0,0.8108616071699621,0.0,0.3864660133793347,0.8151041666666666,0.7520172007287536,0.0,0.3052331349206349,0.0,0.7468176664605236,0.0
Cambridge(Massachusetts),0.6750904249259513,0.0,0.4567099567099567,0.0,0.46699134199134196,0.6078869047619047,0.9765512265512266,0.0,0.0,0.5846268315018315,0.0,0.8311011904761905,0.5877454051796157,0.0,0.6872527062336693,0.64390756302521,0.0,0.0,0.5,0.0,0.37789837496968226,0.0,0.16151785714285716,0.44716614906832297,0.0,0.0,0.6901154401154401,0.0,0.5115440115440115,0.0,0.6160584886128364,0.6783234126984128,0.33523058235675735,0.652234682122543,0.5552294197031039,0.4914570910033705,0.0,0.8642857142857143,0.4824134199134199,0.40625
Pittsfield(Massachusetts),0.0,0.0,0.0,0.0,0.6169738863287251,0.7332046332046331,0.6814928127428128,0.0,0.0,0.6688762850053174,0.0,0.41630079825834543,0.6236797924297924,0.3402777777777778,0.4555691547030997,0.654914004914005,0.0,0.674945139346061,0.0,0.37789837496968226,0.0,0.0,0.6932027649769585,0.609717820565126,0.0,0.0,0.5521664642988172,0.35020781637717124,0.0,0.0,0.4792059131344845,0.42880177255177254,0.0,0.0,0.5028948065712772,0.6590659340659341,0.0,0.0,0.0,0.0
Albany(New York),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea(Massachusetts),0.5214285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6991127583108715,0.0,0.7597527472527472,0.7093026004728132,0.6154761904761905,0.0,0.0,0.6866688116688117,0.16151785714285716,0.6932027649769585,0.0,0.0,0.6176470588235294,0.0,0.0,0.0,0.5218918918918919,0.8057835820895523,0.0,0.0,0.0,0.0,1.0,0.7304478483320987,0.8371305418719213,0.5098046989815282,0.7883499170812603,0.7884119915369915,0.0
Warwick(Rhode Island),0.6329579619039609,0.0,0.7314311594202898,0.34840503699199354,0.33508337450592884,0.781524926686217,0.46710408535227727,0.6233913278750236,0.0,0.6078472987687583,0.6807283247500638,0.0,0.7313969813969814,0.711087996142344,0.611358814097945,0.294047619047619,0.4107091025194473,0.5906503768485568,0.0,0.44716614906832297,0.609717820565126,0.0,0.6176470588235294,0.0,0.0,0.8990868585977282,0.55054783771216,0.8019699625993455,0.4587781510513873,0.0,0.7425779499020039,0.7388339920948617,0.6605294189230794,0.7511316108901099,0.6505623799188784,0.6815302144249513,0.0,0.7413419913419913,0.6645314145314145,0.5963539035335375
New Haven(Connecticut),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
