,Austin,Paris,Los Angeles,Lihue,City of New York,San Francisco,Olathe,Coral Springs,Curitiba,Vancouver,Boston,Denver,Memphis,San Marcos,Mesquite,Anaheim,Town of Vestal,Santa Clara,Santa Cruz,Leawood,San Mateo,Plano,Indianapolis,Incline Village-Crystal Bay,Clackamas County,Washington,Cedar Park,Asheville,Palo Alto,Mexico city,Atlanta,Chicago,Falcon Heights,Daly City,Boulder,Portland,West Vancouver,Chapel Hill,Oklahoma City,Kent,Las Vegas Valley,Leavenworth,Kansas City,Bad Hindelang,Pelham,Orange County,London,Prairie Village,Long Beach,Ashland,Redwood City,City of Cape Town,Newport Beach,Leeds and the Thousand Islands,Campbell,Dallas,Unknown,Marfa,Southlake,San Mateo County,Fort Worth,Bath,Strasbourg,Santa Clara County,Overland Park,Silverdale,Berkeley,Oakland Park,Burnet County,East Palo Alto,Miami Gardens,North Little Rock,Grapevine,Durham,Manor,Seattle,Colorado Springs,Tampa,Saint Louis County,Saint Charles,Trelleborg,Van Horn,Sunnyvale,Galveston,NÃ¼rnberg,Draper,Essaouira,Brighton,Mission Viejo,San Clemente,Mauregard,Stockholm,Jersey Village,Anchorage,Albuquerque,Layton,Louisville,Schwechat,Banning,Rotterdam,Medebach,Barcelona,Kalamazoo County,MÃ¼nchen,Moore,Skokie,Houston,Wichita,Des Moines,Spokane,Ridgewood,Riverside County,Saint Paul,Burnaby,Mission,Cleveland,San Jose,Lawrence,Providence,Mountlake Terrace,Burbank,Milwaukee,Waitemata,Travis County,Saskatoon,City of Saratoga Springs,Gaithersburg,New Braunfels,Henderson,Phoenix
Austin,0.0,0.07777777777777778,0.05416666666666667,0.21666666666666667,0.05909090909090909,0.04696969696969697,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.21666666666666667,0.05416666666666667,0.07222222222222222,0.03333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.05416666666666667,0.10833333333333334,0.03333333333333333,0.10833333333333334,0.10833333333333334,0.10833333333333334,0.07222222222222222,0.016666666666666666,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.06190476190476191,0.016666666666666666,0.016666666666666666,0.05416666666666667,0.05416666666666667,0.21666666666666667,0.07222222222222222,0.14444444444444443,0.016666666666666666,0.21666666666666667,0.07222222222222222,0.21666666666666667,0.05416666666666667,0.016666666666666666,0.06190476190476191,0.05,0.21666666666666667,0.21666666666666667,0.10833333333333334,0.027083333333333334,0.21666666666666667,0.05416666666666667,0.10833333333333334,0.21666666666666667,0.05416666666666667,0.21666666666666667,0.21666666666666667,0.10833333333333334,0.10833333333333334,0.21666666666666667,0.10833333333333334,0.05416666666666667,0.21666666666666667,0.21666666666666667,0.016666666666666666,0.21666666666666667,0.027083333333333334,0.21666666666666667,0.016666666666666666,0.21666666666666667,0.05,0.10833333333333334,0.05416666666666667,0.21666666666666667,0.024074074074074074,0.21666666666666667,0.21666666666666667,0.07222222222222222,0.0962962962962963,0.10833333333333334,0.06666666666666667,0.21666666666666667,0.016666666666666666,0.21666666666666667,0.10833333333333334,0.21666666666666667,0.016666666666666666,0.05416666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.016666666666666666,0.21666666666666667,0.05416666666666667,0.0962962962962963,0.21666666666666667,0.05416666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.016666666666666666,0.05,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.016666666666666666,0.016666666666666666,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.016666666666666666,0.21666666666666667,0.05416666666666667,0.03611111111111111,0.016666666666666666,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.05416666666666667,0.03333333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.016666666666666666
Paris,0.07777777777777778,0.0,0.08333333333333333,0.3333333333333333,0.0909090909090909,0.06060606060606061,0.16666666666666666,0.16666666666666666,0.008264462809917354,0.3333333333333333,0.08333333333333333,0.1111111111111111,0.0025925925925925925,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.027210884353741492,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.0012962962962962963,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.09523809523809523,0.0012962962962962963,0.0012962962962962963,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0012962962962962963,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.08333333333333333,0.009259259259259259,0.09523809523809523,0.020833333333333332,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.0012962962962962963,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.0012962962962962963,0.3333333333333333,0.003888888888888889,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.07407407407407407,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.14814814814814814,0.16666666666666666,0.005185185185185185,0.3333333333333333,0.0012962962962962963,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0012962962962962963,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012962962962962963,0.3333333333333333,0.08333333333333333,0.14814814814814814,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.020833333333333332,0.020833333333333332,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0012962962962962963,0.020833333333333332,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.013605442176870746,0.3333333333333333,0.08333333333333333,0.05555555555555555,0.0012962962962962963,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.0025925925925925925,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.009259259259259259
Los Angeles,0.05416666666666667,0.08333333333333333,0.0,0.25,0.06818181818181818,0.045454545454545456,0.013888888888888888,0.013888888888888888,0.006198347107438016,0.25,0.0625,0.08333333333333333,0.0018055555555555557,0.25,0.25,0.25,0.0625,0.125,0.02040816326530612,0.125,0.125,0.125,0.08333333333333333,0.0009027777777777778,0.25,0.25,0.25,0.25,0.07142857142857142,0.0009027777777777778,0.0009027777777777778,0.0625,0.0625,0.25,0.08333333333333333,0.16666666666666666,0.0009027777777777778,0.25,0.08333333333333333,0.25,0.0625,0.005208333333333333,0.07142857142857142,0.25,0.25,0.25,0.125,0.03125,0.25,0.0625,0.125,0.25,0.0625,0.25,0.25,0.125,0.125,0.25,0.125,0.0625,0.25,0.25,0.0009027777777777778,0.25,0.03125,0.25,0.0009027777777777778,0.25,0.0027083333333333334,0.125,0.0625,0.25,0.027777777777777776,0.25,0.25,0.08333333333333333,0.1111111111111111,0.125,0.0036111111111111114,0.25,0.0009027777777777778,0.25,0.125,0.25,0.0009027777777777778,0.0625,0.25,0.25,0.25,0.25,0.25,0.0009027777777777778,0.25,0.0625,0.1111111111111111,0.25,0.0625,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0009027777777777778,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.01020408163265306,0.25,0.0625,0.08333333333333333,0.0009027777777777778,0.25,0.25,0.25,0.0625,0.0018055555555555557,0.25,0.25,0.25,0.25,0.25,0.005208333333333333
Lihue,0.21666666666666667,0.3333333333333333,0.25,0.0,0.2727272727272727,0.18181818181818182,0.05555555555555555,0.05555555555555555,0.024793388429752063,1.0,0.25,0.3333333333333333,0.007222222222222223,1.0,1.0,1.0,0.25,0.5,0.08163265306122448,0.5,0.5,0.5,0.3333333333333333,0.0036111111111111114,1.0,1.0,1.0,1.0,0.2857142857142857,0.0036111111111111114,0.0036111111111111114,0.25,0.25,1.0,0.3333333333333333,0.6666666666666666,0.0036111111111111114,1.0,0.3333333333333333,1.0,0.25,0.020833333333333332,0.2857142857142857,0.0625,1.0,1.0,0.5,0.125,1.0,0.25,0.5,1.0,0.25,1.0,1.0,0.5,0.5,1.0,0.5,0.25,1.0,1.0,0.0036111111111111114,1.0,0.125,1.0,0.0036111111111111114,1.0,0.010833333333333334,0.5,0.25,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,0.4444444444444444,0.5,0.014444444444444446,1.0,0.0036111111111111114,1.0,0.5,1.0,0.0036111111111111114,0.25,1.0,1.0,1.0,1.0,1.0,0.0036111111111111114,1.0,0.25,0.4444444444444444,1.0,0.25,1.0,1.0,1.0,0.0625,0.0625,1.0,1.0,1.0,1.0,0.0036111111111111114,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,0.04081632653061224,1.0,0.25,0.16666666666666666,0.0036111111111111114,1.0,1.0,1.0,0.25,0.007222222222222223,1.0,1.0,1.0,1.0,1.0,0.020833333333333332
City of New York,0.05909090909090909,0.0909090909090909,0.06818181818181818,0.2727272727272727,0.0,0.04958677685950413,0.01515151515151515,0.01515151515151515,0.09090909090909091,0.2727272727272727,0.06818181818181818,0.0909090909090909,0.00196969696969697,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.06818181818181818,0.13636363636363635,0.022263450834879402,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0909090909090909,0.000984848484848485,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0779220779220779,0.000984848484848485,0.000984848484848485,0.06818181818181818,0.06818181818181818,0.2727272727272727,0.09090909090909091,0.1818181818181818,0.000984848484848485,0.2727272727272727,0.0909090909090909,0.2727272727272727,0.06818181818181818,0.005681818181818181,0.0779220779220779,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.13636363636363635,0.03409090909090909,0.2727272727272727,0.06818181818181818,0.13636363636363635,0.2727272727272727,0.06818181818181818,0.2727272727272727,0.2727272727272727,0.13636363636363635,0.13636363636363635,0.2727272727272727,0.13636363636363635,0.06818181818181818,0.2727272727272727,0.2727272727272727,0.000984848484848485,0.2727272727272727,0.03409090909090909,0.2727272727272727,0.000984848484848485,0.2727272727272727,0.0029545454545454545,0.13636363636363635,0.06818181818181818,0.2727272727272727,0.030303030303030304,0.2727272727272727,0.2727272727272727,0.0909090909090909,0.1212121212121212,0.13636363636363635,0.00393939393939394,0.2727272727272727,0.000984848484848485,0.2727272727272727,0.13636363636363635,0.2727272727272727,0.000984848484848485,0.06818181818181818,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.000984848484848485,0.2727272727272727,0.09090909090909091,0.1212121212121212,0.2727272727272727,0.06818181818181818,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.017045454545454544,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.000984848484848485,0.017045454545454544,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.011131725417439701,0.2727272727272727,0.06818181818181818,0.04545454545454545,0.000984848484848485,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.06818181818181818,0.00196969696969697,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.005681818181818181
San Francisco,0.045454545454545456,0.06060606060606061,0.045454545454545456,0.18181818181818182,0.04958677685950413,0.0,0.0101010101010101,0.0101010101010101,0.004507888805409466,0.18181818181818182,0.045454545454545456,0.06060606060606061,0.0015151515151515152,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.030303030303030304,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.06060606060606061,0.0007575757575757576,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.051948051948051945,0.0007575757575757576,0.0007575757575757576,0.045454545454545456,0.06060606060606061,0.18181818181818182,0.06060606060606061,0.12121212121212122,0.0007575757575757576,0.18181818181818182,0.06060606060606061,0.18181818181818182,0.045454545454545456,0.003787878787878788,0.051948051948051945,0.06060606060606061,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.030303030303030304,0.18181818181818182,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.18181818181818182,0.18181818181818182,0.0007575757575757576,0.18181818181818182,0.022727272727272728,0.18181818181818182,0.0007575757575757576,0.18181818181818182,0.002272727272727273,0.09090909090909091,0.045454545454545456,0.18181818181818182,0.0202020202020202,0.18181818181818182,0.18181818181818182,0.06060606060606061,0.0808080808080808,0.09090909090909091,0.0030303030303030303,0.18181818181818182,0.0007575757575757576,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0007575757575757576,0.045454545454545456,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0007575757575757576,0.18181818181818182,0.045454545454545456,0.0808080808080808,0.18181818181818182,0.045454545454545456,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.011363636363636364,0.06060606060606061,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0007575757575757576,0.011363636363636364,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.007421150278293135,0.18181818181818182,0.045454545454545456,0.030303030303030304,0.0007575757575757576,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.06060606060606061,0.030303030303030304,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.003787878787878788
Olathe,0.016666666666666666,0.16666666666666666,0.013888888888888888,0.05555555555555555,0.01515151515151515,0.0101010101010101,0.0,1.0,0.001377410468319559,0.05555555555555555,0.013888888888888888,0.018518518518518517,0.0005555555555555556,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.013888888888888888,0.05555555555555555,0.004535147392290249,0.08333333333333333,0.027777777777777776,0.027777777777777776,0.018518518518518517,0.0002777777777777778,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.015873015873015872,0.0002777777777777778,0.0002777777777777778,0.013888888888888888,0.1111111111111111,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.0002777777777777778,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.14285714285714285,0.003472222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.027777777777777776,0.05555555555555555,0.013888888888888888,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.013888888888888888,0.05555555555555555,0.05555555555555555,0.0002777777777777778,0.05555555555555555,0.3333333333333333,0.05555555555555555,0.0002777777777777778,0.05555555555555555,0.0008333333333333334,0.027777777777777776,0.013888888888888888,0.05555555555555555,0.012345679012345678,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.024691358024691357,0.08333333333333333,0.0011111111111111111,0.05555555555555555,0.0002777777777777778,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.0002777777777777778,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0002777777777777778,0.05555555555555555,0.027777777777777776,0.024691358024691357,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.02040816326530612,0.003472222222222222,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0002777777777777778,0.02040816326530612,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.013888888888888888,0.037037037037037035,0.0002777777777777778,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0005555555555555556,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
Coral Springs,0.016666666666666666,0.16666666666666666,0.013888888888888888,0.05555555555555555,0.01515151515151515,0.0101010101010101,1.0,0.0,0.001377410468319559,0.05555555555555555,0.013888888888888888,0.018518518518518517,0.0005555555555555556,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.013888888888888888,0.05555555555555555,0.004535147392290249,0.08333333333333333,0.027777777777777776,0.027777777777777776,0.018518518518518517,0.0002777777777777778,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.015873015873015872,0.0002777777777777778,0.0002777777777777778,0.013888888888888888,0.1111111111111111,0.05555555555555555,0.037037037037037035,0.037037037037037035,0.0002777777777777778,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.14285714285714285,0.003472222222222222,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.027777777777777776,0.05555555555555555,0.013888888888888888,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.013888888888888888,0.05555555555555555,0.05555555555555555,0.0002777777777777778,0.05555555555555555,0.3333333333333333,0.05555555555555555,0.0002777777777777778,0.05555555555555555,0.0008333333333333334,0.027777777777777776,0.013888888888888888,0.05555555555555555,0.012345679012345678,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.024691358024691357,0.08333333333333333,0.0011111111111111111,0.05555555555555555,0.0002777777777777778,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.0002777777777777778,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0002777777777777778,0.05555555555555555,0.027777777777777776,0.024691358024691357,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.02040816326530612,0.003472222222222222,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0002777777777777778,0.02040816326530612,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.013888888888888888,0.037037037037037035,0.0002777777777777778,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0005555555555555556,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
Curitiba,0.016666666666666666,0.008264462809917354,0.006198347107438016,0.024793388429752063,0.09090909090909091,0.004507888805409466,0.001377410468319559,0.001377410468319559,0.0,0.024793388429752063,0.006198347107438016,0.008264462809917354,0.0005555555555555556,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.006198347107438016,0.012396694214876032,0.0020239500758981272,0.012396694214876032,0.012396694214876032,0.012396694214876032,0.008264462809917354,0.0002777777777777778,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.007083825265643447,0.0002777777777777778,0.0002777777777777778,0.006198347107438016,0.006198347107438016,0.024793388429752063,0.008264462809917356,0.016528925619834708,0.0002777777777777778,0.024793388429752063,0.008264462809917354,0.024793388429752063,0.006198347107438016,0.0005165289256198346,0.007083825265643447,0.008264462809917356,0.024793388429752063,0.024793388429752063,0.012396694214876032,0.003099173553719008,0.024793388429752063,0.006198347107438016,0.012396694214876032,0.024793388429752063,0.006198347107438016,0.024793388429752063,0.024793388429752063,0.012396694214876032,0.012396694214876032,0.024793388429752063,0.012396694214876032,0.006198347107438016,0.024793388429752063,0.024793388429752063,0.0002777777777777778,0.024793388429752063,0.003099173553719008,0.024793388429752063,0.0002777777777777778,0.024793388429752063,0.0008333333333333334,0.012396694214876032,0.006198347107438016,0.024793388429752063,0.0027548209366391185,0.024793388429752063,0.024793388429752063,0.008264462809917354,0.011019283746556472,0.012396694214876032,0.0011111111111111111,0.024793388429752063,0.0002777777777777778,0.024793388429752063,0.012396694214876032,0.024793388429752063,0.0002777777777777778,0.006198347107438016,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.0002777777777777778,0.024793388429752063,0.008264462809917356,0.011019283746556472,0.024793388429752063,0.006198347107438016,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.001549586776859504,0.008264462809917356,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.0002777777777777778,0.001549586776859504,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.0010119750379490636,0.024793388429752063,0.006198347107438016,0.004132231404958677,0.0002777777777777778,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.006198347107438016,0.0005555555555555556,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.024793388429752063,0.0005165289256198346
Vancouver,0.21666666666666667,0.3333333333333333,0.25,1.0,0.2727272727272727,0.18181818181818182,0.05555555555555555,0.05555555555555555,0.024793388429752063,0.0,0.25,0.3333333333333333,0.007222222222222223,1.0,1.0,1.0,0.25,0.5,0.08163265306122448,0.5,0.5,0.5,0.3333333333333333,0.0036111111111111114,1.0,1.0,1.0,1.0,0.2857142857142857,0.0036111111111111114,0.0036111111111111114,0.25,0.25,1.0,0.3333333333333333,0.6666666666666666,0.0036111111111111114,1.0,0.3333333333333333,1.0,0.25,0.020833333333333332,0.2857142857142857,0.0625,1.0,1.0,0.5,0.125,1.0,0.25,0.5,1.0,0.25,1.0,1.0,0.5,0.5,1.0,0.5,0.25,1.0,1.0,0.0036111111111111114,1.0,0.125,1.0,0.0036111111111111114,1.0,0.010833333333333334,0.5,0.25,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,0.4444444444444444,0.5,0.014444444444444446,1.0,0.0036111111111111114,1.0,0.5,1.0,0.0036111111111111114,0.25,1.0,1.0,1.0,1.0,1.0,0.0036111111111111114,1.0,0.25,0.4444444444444444,1.0,0.25,1.0,1.0,1.0,0.0625,0.0625,1.0,1.0,1.0,1.0,0.0036111111111111114,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,0.04081632653061224,1.0,0.25,0.16666666666666666,0.0036111111111111114,1.0,1.0,1.0,0.25,0.007222222222222223,1.0,1.0,1.0,1.0,1.0,0.020833333333333332
